Boađus: 15 667
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
Mii 	guoská 	“ Gutta på tur ” prográmmaide earenoamážit sámi álbmogii prográmman , lohká Inderøy:–Mun in kommentere reivve sisdoalu man kulturdepartemeanta lea sádden midjiide .
TV2 lea álggu rájes ožžon cuiggodemiid prográmma sisdollui , earenoamážit dasa mii 	guoská 	sáddagiidda earenoamážit sámi álbmogii .
Mii 	guoská 	eará cuiggodemiide allmennkringkastingsrådas , in áiggo kommenteret dál .
Njuolggadusaid vuođul mat 	gusket 	muhturfievrruid geavaheapmái bievlan árbevirolaš johtolatgeainnuid mielde Finnmárkkus , maid Birasgáhttendepartemeantta lea mearridan suoidnemánu 28. beaivvi 1989 muhturjohtolatlága § 4a vuođul , lea Fylkkamánni geassemánu 1. beaivvi mearridan čuovvovaš njuolggadusaid mat gusket muhturfievrruid geavaheapmái bievlan trákturluottaid mielde Guovdageainnu suohkanis :
Njuolggadusaid vuođul mat gusket muhturfievrruid geavaheapmái bievlan árbevirolaš johtolatgeainnuid mielde Finnmárkkus , maid Birasgáhttendepartemeantta lea mearridan suoidnemánu 28. beaivvi 1989 muhturjohtolatlága § 4a vuođul , lea Fylkkamánni geassemánu 1. beaivvi mearridan čuovvovaš njuolggadusaid mat 	gusket 	muhturfievrruid geavaheapmái bievlan trákturluottaid mielde Guovdageainnu suohkanis :
– Danin in sáhte juste dán ášši birra dadjat maidege , lohká Solbakken Härkönen , ja joatká : Muhto skuvllas leat áibbas čielga njuolggadusat dasa mii 	guoská 	ohppui .
Danin in sáhte maidege dadjat juste dasa mii 	guoská 	juste dán áššái , loahpaha Solbakken Härkönen .
Dán oktavuođas eai leat ealáhus organisašuvnnaide ge sáddejuvvon šiehtadus gulaskuddamii , vaikko dát 	guoská 	ealáhusaide .
Ii galgga leat nu álki ahte guokte priváhta beali , dego Statskog ja NJFF , guovttágaskká dahkaba mearrádusaid ja šiehtadusaid mat 	gusket 	midjiide buohkaide , beroškeahttá maid mii oaivvildit .
Dát leat fágat mat 	gusket 	luondui mat dán guovtti skuvllas leat dievvan vuosttaš sisaváldimis juo .
Go 	guoská 	joavkojođiheddjiide , de fertešii váldonjuolggadus leat ahte sii máhttet sámegiela .
	Guoská 	buot virggiide : Bálká : pedagogalaš jođiheaddji : bálkákoda 6709 : bálkárámma 7.2 , bálkáčeahkki 26.
Virggiide 	guoská 	: 1 .
Dat ii 	guoskka 	dušše minibáŋkogoarttaide , danin go diet nu gohčoduvvon bonusgoarttat maid doibmet seamma ládje .
Vealaheapmi našunalitehta vuođul , lea lobiheapmi go 	guoská 	olbmuide , kapitálai , gálvvuide ja bálvalusaide ealáhusa oktavuođas .
Sieck hálidus go 	guoská 	sport- ja asttoáiggeoaggumii , gal gáhččá olggobeallái EØS-šiehtadusa .
Earret eará gáržžideapmi olgoriikkalaččaide , mii 	guoská 	dasa ahte eaiggádit fatnasa , muhto maiddái sierramearádusat mat várjalit sápmelaččaid beroštumiid . #ILL
Aŋkke gávdno láhkamearrádus vealaheapmái , go dat lea mearriduvvon lága bokte dahje njuolggadusaid bokte mat 	gusket 	sihkarvuhtii , ortnegii ja álbmoga dearvvašvuhtii .
	Guoská 	goappašat virggiide :
Odne leat ráhkadan historjjá mii 	guoská 	váidaleapmái !
Hálddahusa olbmot maid čilgejit ja geardduhit mearrádusaid ja njuolggadusaid mat 	gusket 	bargguide .
Dát lea hui dehálaš go stáhtačállit leat mielde ovtta lávdegottis mii bargá áššiiguin mat earenoamážit 	gusket 	sámepolitihkalaš gažaldagaide .
	Guoská 	gait virggiide :
Suomas eai leat dušše sápmelaččat geat barget bohccuiguin , ja dat mielddisbuktá ahte bealli ealáhusas ii 	guoskka 	sápmelaččaide .
Lea maiddái dovddus ahte norgga girku oahppolávdegoddi lea bargame cealkámušain mii 	guoská 	ordinašuvdnageatnegasvuhtii ja movt dat váikkuha eretcealkit bismma gii rihkku girku oahpu .
WPD gal ii áiggo billistit bargomovtta earáin geat leat iskame eará energigálduid , muhto mii diehtit ahte ii 	guoská 	min áššái hukset bieggamilluid , muhto lea baicca luonddu ja energibuktaga ášši .
Guovdageainnu bargiidbellodat lea gieđahallan ášši , ja sis lea leamaš evttohus suohkanstivrras mii 	guoskkai 	birasgáhttenkántuvrii .
Earenoamážit ruovttubálvalusaide mat 	gusket 	boarrásiidda , lohká bellodaga jođiheaddji Inger Marit Bongo .
Mu mielas lea vuogas bidjat birasgáhttenhálddašeami teknihkalašossodaga vuollái , geat juo hálddašit áššiid mat 	guosket 	birasgáhttemii ja lundui , lohká Inger Marit Bongo .
Danin bivdá Sámediggi ahte birasministeriija ii dohkket evttohuvvon meahcceplána mii 	guoská 	Bievrrasjávrre guovlluide .
Danin bivdá Sámediggi ahte birasministeriija ii dohkket evttohuvvon meahcceplána mii 	guoská 	Bievrrasjávrre guovlluide .
– Juste dáin guovlluin gosa plána 	guoská 	, leat ceggejuvvon lobihis barttat , hyttat .
Ulbmil dainna mearrádusain lea buoridit internašunálalaš oktasašbarggu áššiin mat 	gusket 	eamiálbmogiidda .
	Guoská 	gait virggiide : - Jus muđuid leat seamma eavttut , ja go ii boađe earáládje ovdan almmuhusteavsttas , mannet ohccit geat máhttet sámegiela eará ohcciid ovddabeallái .
Lassivirggiide // ealáhusberoštusaide 	gusket 	sierralágan njuolggadusat .
Virgáibidjan dáhpáhuvvá eavttuid mielde mat čuvvot almmolaš virgeolbmuid bagaduslágaid ja njuolggadusaid mat 	gusket 	virgái .
Dat 	guoská 	min agálaš dilalašvuhtii .
Ulbmilin lea gullat nuppástuhttiin movt sin oaidnu lea das mii 	guoská 	nuppástuhttinprográmmii .
Mátki galgá oahpasnuhttit komitea lahttuid muhtin váttisvuođaide mat 	gusket 	johtolahkii Finnmárkkus .
Son ii leat 	guoskan 	spábbii 1981 rájes , muhto lei goitge nu sporty ahte lávkulii spábbačiekčanšiljui .
Virggiide 	guoská 	: 1 .
	Guoská 	virgái : - Jus muđuid leat seammá eavttut , ja go ii boađe earáladje ovdan almmuhusteavsttas , mannet ohccit geat máhttet sámegiela eará ohcciid ovddabeallái .
Virggiide 	guoská 	: 1 .
Mii 	guoská 	teavsttaide , lea dán vuoru Mari Boine geahčestan maid earát čállet , ja ráhkadan daidda musihka ovttas čuojaheddjiiguin .
Eallin lávlla addá gova maid sáhttá vuordit CDas mii 	guoská 	Mari Boine jietnageavaheapmái .
Oahpaheaddjivirgái 	guoská 	:
Mii 	guoská 	biktasiidda , lea stuora dárbu maiddái daidda dálvvi vuostá .
Sámediggi lea bidjan johtui bargolávdegotti mii galgá bargat áššiiguin mat 	gusket 	heahteveahkkái Ruošša bealde .
” Ráđđi oaivvilda ahte prošeavtta máŋggakultuvrralaš ulbmil álgoálbmot perspektiivvas lea positiivvalaš sihke dasa mii 	guoská 	kultuvrralaš identitehtii ja kultuvrralaš ovttasbarggu ovddideapmái .
Bovdejumis konferánssaide čuožžu ahte « Evttohusat maid Sámi vuoigatvuođaidlávdegotti árvalus buktá , 	gusket 	muhtun hui guovddáš guovllut Finnmárkku álbmogii ...
Buohkain lea hállu jiehtojuohkimii , go dát árvalus mii lea gulaskuddamis lea oba mihá viiddis , go boađus dán barggus 	guoská 	buot Finnmárkkulaččaide .
Fálaldat 	guoská 	daid áviissaide mat leat biddjon dán almmuhussii .
Otná njuolggadusat mat 	gusket 	boraspire vahát buhtadusaide leat eahpečielgasat .
– Álo go juoga deaŧalaš galgá mearriduvvot mii maiddái 	guoská 	boazodollui , manná bargiidbellodat boazodoalu vuostá , logai Bæhr .
Guovdageainnu sátnejođiheaddji Anton Dahl “ Bušeahtta boahtá spreŋget vel eanet ” Guovddášbellodaga Jan Ole Buljo “ Dan mii gal fertet ipmirdit ahte máksit mii gal nai fertet ” Johttisápmelašlisttu Risten Eira “ Buot mii 	guoská 	søppel-hoidui ” Dáloniid Isak Mathis Hætta “ Leat oallugat geat hálidit geavahit Heaikkas daid oljo-milliardaid .
Dat maid 	guoská 	sámiide geat dárbbašit doarjaga bargat sin árbevirolaš bargguid .
Sii fertejit juohke beaivvi 	guoskat 	spábbii jus galgá mokta bissut .
Semináras leat olu dehálaš fáttát , mat 	gusket 	boazodoallorivttiide ja boazodoallolágaide .
Doppe čuožžu maid ahte almmolaš ásahusat , mat barget áššiiguin mat 	gusket 	sámi álbmogii , leat geatnegahtton dulkka ásahit go dárbbašuvvo .
Áviisačállosis mii lei Nordlysas 26.08.98 jearrá Magne Einejord bargagoahtá go Bargiidbellodaga Sámediggejoavku áššiiguin mat 	gusket 	sámi váhnemiidda Loabáha skuvlastuorideamis .
Mánáin lea riekti muitalit iežaset oaiviliid áššiin mat 	gusket 	sidjiide .
Dađimielde go mánát sturrot , galget sii ieža beassat eanet ja eanet mearridit áššiid mat 	guosket 	sidjiide .
Mii Tine « ii 	guoská 	de masset sii miellahttuid priváhta meieriijaide , muhto goitge lea dáhkádussan sidjiide geat eai leat miellahttut jus priváhta geahččaleamit eai lihkostuva .
Dat han lea fuomihuvvon ahte dásseárvu 	guoská 	maiddái dievdduide .
Govat eai oro 	guoskame 	midjiide , dat leat dušše govat .
Nubbi foanda mii 	guoská 	guolásteapmái , paralleallainvesterenfoanda , sáhttá ges doarjaga addit oastit ođđa ávdnasiid dahje jus hálida ovddidit gálvvuid ja ideaid mat leat boahtán dutkanásahusain Davvi-Norggas .
Lea dan mielas , ahte váldodeaddu boazodoalu ovddidandoaimmain maid boazodilli lagamus jagiin gáibida juo EO dáfos , leat boazodoalu ekonomalaš ovddideapmái 	guoski 	gažaldagaide vuodjun .
Maiddái eará bostii 	guoská 	
Dát 	guoská 	Davvi-Tromsii ja Finnmárkui .
Fáttát 	gusket 	nu oppamáilmmalaš áššiide ahte ii leat váttis jurddašit ahte dat mii lávddis čájehuvvo livččii dáppe maid sáhttán dáhpáhuvvat .
Mun dovddan maid NRK-Sámeradiohoavdda Nils Johan Heatta buriid ja bahás beliid mat 	gusket 	davviriikkalaš ovttasbargui das go mun lean leamaš SR-sámeradiohoavdan lagabui logi jagi , ja mus lea leamaš ollu dahkamuš suinna gitta álgo 80-logu rájes .
Stivrenjoavkku ovdaolbmon lea goit eanumus váldi davviriikkain mii 	guoská 	sámiid oktasaš radioáššiin .
– Ja dat lea dárbu ruđaide , lohká Anton ja joatká : – Mii fertet maid čuovvut mearrádusaid mat o.m.d. 	gusket 	ruskaduvnniide , ja dasa mii dárbbašit stáda veahki , go galgat buot ollet ja nagodit čađahit .
Guovdageainnu dearvvašvuođadivššohat doallá rabas uvssaid nuoraide geat hálidit ságastallat áššiid birra mat 	gusket 	nuoraide .
- Jurdda lea ahte nuorat galget beassat jearrat ja oažžut vástádusa áššiide mat 	gusket 	nuoraide , čilge dearvvašvuođadivššár Mona Hornæs .
Muhto lea baicca nu ahte maiddái sámi servodahkii 	guoská 	ođđa áigi .
Namalassii mii sáhttit árvalit , dat referánsa mii oahpahuvvo dárkilit mánáide , 	guoská 	maiddái lundui ja dan áigodagaide ja hámiide .
Ferte leat vejolaš gávdnat čovdosiid mat bohtet ávkin visot guovlluservvodahkii , sihke dasa mii 	guoská 	luonddubillisteapmái ja báikkálaš buvttadeapmái .
Fylkkagielddas lea maid ulbmil addit diehtojuohkima suohkaniidda ja muđui eará veahki 	guoski 	áššis .
Earenoamážit 	guoská 	dát guovlluidovddidanfondii ( DU-doarjja ) Finnmárkui - Finnmárkku earenoamáš dili geažil - ja go Statens Fiskarbank biddjui SND vuollái de šattai eanet deaddu Davvi-Norgga rámmaide .
Boazodoallohálddahusas Álttas galgá biddjot olmmoš ođđa virgái gii bargá earenoamážit doaimmaiguin mat 	gusket 	boazodoallonissoniidda .
– Oaččun go 	guoskat 	du liikkái ?
Dálá sámediggepresideanta Sven Roald Nystø dohkkeha dan , ja ii loga dan váikkuhit heajut guvlui mii 	guoská 	sámi áššiid meannudeapmái .
– Dát lea čoavddus mainna sáhttit eallit , ja mun in oainne ahte dát váikkuhivččii boasttu guvlui dasa mii 	guoská 	sámi áššiid gieđahallamii .
Rievttit mat 	gusket 	dálveorohagaide , galget leat čilgejuvvon go Sámi vuoigatvuođalávdegotti árvalus meannuduvvo bajemus politihkalaš dásis Norggas , muitala Hætta .
Gosa 	gusket 	giellanjuolggadusat
” Giellalágas leat nu garra mearrádusat ahte vuoigatvuohta oažžut vástádusa sámegillii 	guoská 	buohkaide , maiddái sidjiide geat eai oro hálddašanguovllu suohkaniin .
Dat lea hui suorggahahtti , go sámegiella ii vel leat anus almmolaš ásahusain , gos beaivválaččat barget áššiiguin mat 	gusket 	sámegielat olbmuide .
Dan oktavuođas leat mii imaštan go Ráđđehusadvokáhtta , Eanadoallodepartemeantta ovddas , lea lágastan ahte ILO konvenšuvnna 169 njuoggadusat álgoálbmogiid ja čearddaid birra , eai 	guoskka 	dákkár áššái , vaikko sámi beroštumit leat oalle dovdosat .
Njuolggadus ii 	guoskka 	ohcan- , guođohan- , politiija- ja gádjunbeatnagiidda .
Dát sáhttá , jus riekta adno , leat earenoamáš buorre gaskaoapmi maiddái dasa mii 	guoská 	gulahallamii , sihke oktasaš olbmuid ja álbmogiid gaskka .
Ii sin mielas oro veara golahit máŋggaid duháhiid juridihkalaš veahkkái mii álo soaitá doalvut ášši eará sadjái go dasa masa dat obage 	guoská 	.
Go de bisma Steinholt rihkku lutherlaš oahpu mii 	guoská 	homofiillalaš ovttasorrumii , de ii seagut stáhtaráđđi Lilletun iežas bismma áššái , muhto dahká juste nuppe ládje .
Ruong bealis lei dat eanaš mearriduvvon 	guoskat 	su čuldon slipsii , man bokte son čájehii dan áigge modernismasymbola sámi máilmmi ovdáneamis .
– Sámediggeplána lea ilá láivi , earenoamážit dasa mii 	guoská 	sámi iešmearrideapmái , logai Sámediggeráđđelahttu Isak Mathis O. Hætta .
Earenoamážit gokko 	guoská 	iešmearrideapmái , logai Hætta .
– Muhto berre leat iešmearrideapmi dasa mii 	guoská 	sámi álbmoga ovdáneapmái .
Evttohusas čuožžu čielgasit ahte buot sápmelaččat sáhttet doarjaga oažžut ovddidanfoanddas , doaimmaide mat 	gusket 	boazodollui .
Sii lohket ahte mon galggan leat dadjan ahte MSS ii diehtán maid dagai dalle go ášši mii 	guoská 	Ole Henrik Magga sadjái NSR:a listtus digastallojuvvui .
– Mii 	guoská 	Statskoga rollai , sáhttá dan digaštallat , muhto dán oktavuođas in oainne ahte Statskog lea maidege boastut bargan , logai Sara .
Bargiidbellodaga Sámediggejoavku ja Sámi Válgalihttu ovddideigga duorastaga oktasaš evttohusa Sámediggái mii 	guoská 	ruvkedoibmii Náranaš guovllus , Guovdageainnu suohkanis .
Mii 	guoská 	stuorát roggamiidda , ii berre addot dakkár lohpi ovdal Sámi vuoigatvuođa lávdegoddi lea geargan bargguinis , čuožžu oktasat evttohusas maid bargiidbellodaga sámediggejoavku ja Sámi Válgalihttu ovddideigga Sámediggái .
– Lea hui čielggas ahte dát 	guoská 	sámi vuoigatvuođaide , logai Bongo ja jotkkii:–Ruvkefitnodat áigu álggahit ođđa beaivviovddas boltuma Nábár váris .
– Olmmoš galgá beassat náitalit geainna juo háliida , jus buohkat geaidda náitaleapmi 	guoská 	dohkkehit dan , ja náitaleapmi ii váikkut ovttage , lohká Ovddádusbellodaga nuoraid jođiheaddji Kai Morten Terning Rogalands áviisii .
Terning gal maid oaivvilda ahte sii geat háliidit máŋga eamida , galget dieđihit dan birra buohkaide geaidda náitaleapmi 	guoská 	.
Olbmot fertejit dovdat ahte juste dát 	guoská 	maiddái sutnje .
Politihka ferte baicca ovdanbuktit nu ahte olbmot dan ipmirdit , ja dovdet ahte dát ášši 	guoská 	su lagas birrasii , servvodahkii ja maiddái sutnje alccas .
Ráđđi ii hálit cealkit maidege mii 	guoská 	bissovaš doarjjaortnega vuollái .
Goit eai galgga Máze Cabaretas leat váttisvuođat boahtte áiggis , mii 	guoská 	Cabaretai oažžut neavttáriid .
Muhto dál sáhttit dadjat ahte mis lea buoret gelbbolašvuohta go fylkamánni luonddugáhttenossodagas dasa mii 	guoská 	min mehciid hálddašeapmái , logai Dahl .
Maid mii vuhtiimet ahte lei eahpeluohttámuš midjiide eiseválddiid bealis dasa mii 	guoská 	iežamet suohkana luondduhálddašeapmái .
Dat ruhtaseastimat eai 	guoskka 	boastajuohkimii ja boastadoalvumii , danin ii galgga dat hedjonit vaikko boasta ain geahččala ruđa seastit ja goluid unnidit .
– Dát garra stivrejupmi 	guoská 	earenoamážit nuorra olbmuide geat galggaše huksegoahtit ealuideaset , oaivvilda Issát Máhtte .
– Lea čielggas ahte obbaealuid ii sáhte nu guođohit ahte ii 	guoská 	earáid dálveorohagaide , lohká Hætta .
Logut maid Áššu lea ožžon ja mat 	gusket 	áigodahkii 1/7-98/1 gitta 30/11-98/30 , muitalit ahte dán jagi leat 259 ođđa Yamaha registrerejuvvon , ja dat lea sullii 34,4 proseantta dan oppalaš jođus .
Dát lea earenoamáš váttisvuohta , ja 	guoská 	daidda skuterriidda maid gávpeolbmát eai nágot háhkat dahje eai oaččo gávpái ovdal juovlamánu 31. beaivvi dahje ođđajagis .
Dát eai 	guoskka 	dušše asttoáigge rievssatbivdui , muhto maiddái eará bivdui ja mátkkošteapmái mehciin .
Mii 	guoská 	rievssahii , ii jáhke Dahl ahte guovžžat ja albasat dáid borret nu ollu .
« as ii lean šat ávki ovddidit áššiid mat 	guske 	dan árbevirolaš eallinvuohkái boazodoalus , de sii ásahedje ođđa searvvi BES .
Dan seammás lea fylkkagielda mearridan ahte fylka searvá duhátjagiávvudeapmái , ja sii áigot dál prioriteret prošeavttaid ja doaimmaid mat dasa 	gusket 	.
Bálkkašupmi 	guoská 	sihke čáppa- ja diehtogirjjálašvuhtii , ja sturrodat lea 15 000 NOK .
Dat 	guoská 	maid juovla- ja ođđajagivahkkolohpaide )
Dagsrevyen bihtá oktavuođas duvle gos jerre galgágo kapellána siri Sunde fas beassat bargat girkus , álgen jurddahallat muhtin eará ášši birra mii 	guoská 	eará báhpaide Norgga girkus .
Go dat 	guoská 	dan vuoiŋŋalaš čilgehussii , de soaitá eai buohkat dan dieđe .
Duot Áŋŋelii 	guoski 	mánnávuođamuittut orrot nu guhkkin mu dálá eallimis .
Gii lei gonagasaid , gii sávai ahte juohke diŋga masa son 	guoská 	, šaddá gollin ?
Dasa 	guoská 	giella ja árbevirolaš ealáhusat .
Mun in leat boahtán deike čoavdit makkárge riidduid ja áššiid mat 	gusket 	Lyngmo eretbidjamii , muhto doallat ipmilbálvalusaid girkus ja gullevaš meanuid čađahit .
HTas lea ulbmilin ráhkadit čájáhusaid das mii 	guoská 	teáhtera ruovttuguvlui , Davvi-Norgii .
Muhto mii 	guoská 	Guovdageidnui , de boahtá mannat Teáhterbusse Guovdageainnus Áltái ja ruovttoluotta min čájáhusa oktavuođas , muitala Eirin Gjelsås .
Boahtte ČSV sáddagis NRK Sámi radios leat guokte fáttá , mat goappašagat 	guoskaba 	earenoamážit nissonolbmo dillái , muhto lea ollasit servvodatváttisvuohtan .
Stáda ruhtadoarjagat addojit fysihkalaš johtolatsihkarvuođadoaimmaide mat 	gusket 	fylkka- dehe suohkangeainnuide , dehe doaimmaide lagasbirrasis .
Fylka prioritere prošeavttaid mat 	gusket 	mánáide , boarrásiidda , skutervuodjinohppui ja suohkanlaš johtolatsihkarvuođabargguide .
Eará ákkat - nu go Gaski ovdanbuktá ášši - leat njuolggát niegut , eai ge 	guoskka 	dasa go válljejin luohpat NSRa jođiheaddjin .
	Guoská 	go dát dasa ahte don dál sámepolitihkalaččat gulat Bargiidbellodahkii ?
- Diehtit hui bures erohusaid ja váttisvuođaid dan hárrái mii 	guoská 	gulahallamii , ja mii geahččalit váldit dan vuhtii .
NSRa sámediggejoavku hálida guorahallat sisdoalu reform 94 mii 	guoská 	sámiide .
Vaikko odne ii 	guoskka 	evttohus nu ollu boazodollui , de dát buktá váttisvuođaid boahtteáiggis , go boraspiret levvet guovlluide gos boazodoallu lea .
Muhto loahpalaččat dát ii 	guoskka 	dušše sámi guovlluide , muhto buot guovlluide gos vuođđoealáhusat ja lotnolasealáhusat leat deaŧalaččat báikkálaš eallimii ja servvodahkii .
– Vaikko dát evttohus ii 	guoskka 	nu ollu boazodollui , de doarjut mii sávzadolliid dán áššis .
– Juste dát árvalus mii dál lea evttohuvvon , ii 	guoskka 	nu garrasit boazodollui , muhto šibitdollui , dahje sávzadollui , lohká Eira .
