Boađus: 1 283
                                

    Administrative texts –
Muhto juos dulka ii vanat njuolggadusaid , massá geavaheaddji álkit luohttámuša ja     geassáda     iežas sisa .  #DE-Ill (refl)
Sihke sámediggepresideantta Egil Olli ja NSR gáibidit dál ahte Sámit Lulli Norggas várrelahttu , Johan Mikkel Sara ,     geassáda     buot doaimmain Sámedikkis . #SO-Loc (refl)
Keskitalo mielas berre ge Bargiidbellodat dál     geassádit     Sámediggeráđis , go eai nagot oažžut dohkkehuvvot áššiid rukses-ruoná ráđđehusain , gos sin bellodat lea eanetlogus . #SO-Loc (refl)
Dainna lágiin ii oro dan jagi šaddame , go rOlfFa joavkku šaddá     geassádit     . #0 (refl)
Eatnasat dieđus das dihtet bohtosa , namalassii ahte stáhta muddii iežas plánaid ja sámiid vuoigatvuođaid váldigohte eiseválddit eambbo vuhtii , ja daid olis maiddái ásahuvvui ráđđaaddi orgána , Sámediggi , ja maiddái nammaduvvui Sámi_vuoigatvuođalávdegoddi mii kártii sámi vuoigatvuođaid Finnmárkkus , ja man olis loahpaloahpas bođii Finnmárkoláhka ja stáhta     geassádii     eret hálddašeamis luondduriggodagaid Finnmárkkus . #eret+SO-Loc (refl)
Gažaldat dieđus lea maiddái ahte leago Guovddášbellodahkii oba veara šat ságastallat Olgežin mii lea mielde ráhkadeami moivvi , ja min dieđuid mielde gal lea Kárášjoga Listta juo     geassádan     oalát eret . #eret (refl)
Dál lea Ovddádusbellodat ovddidan Stuorradiggái evttohusa ahte heaittihit Sámedikki , Finnmárkkulága ja Norga     geassáda     eret ILO konvenšuvnna nummár 169:s . #eret+SO-Loc (refl)
    Avvir –
Dál lea dakkár dillái Sámediggi vuot gártan ahte eanetlogus ii leat šat eanetlohku , go ovttasbarggus lea     geassádan     Davvikalohta Álbmoga áirras Torill Bakken Kåven . #SO-Loc (refl)
Galgá maiddái oalle ollu dahkkot jus Davvikalohta Álbmot ii doarjjo ráđi bušeahtaševttohusa vaikke lea ge     geassádan     ovttasbarggus . #SO-Loc (refl)
Jus Kárášjot ' Lista lea     geassádan     , de ferte Guovddášbellodagas leat eará ovttasbargoguoimmit . #0 (refl)
    Geassádan     sátnejođiheaddji evttohassan #RO-Ess (refl)
Marit Kirsten A. Gaup     geassádii     sátnejođiheaddji evttohassan priváhta eallima dihtii , go lea boazodoalus ja go leat vuostehágut dan ektui ja siskkáldas áššit Bargiidbellodagas maid ii loga sáhttit dohkkehit . #RO-Ess (refl)
– Go ii lean doarvái doarjja bellodagas , de lean mearridan     geassádit     sátnejođiheaddji evttohassan ja olles listtus , dadjá son . #RO-Ess (refl)
Dál lea ge mearridan     geassádit     sátnejođiheaddji evttohassan ja maiddái olles gielddaválgga listus . #RO-Ess (refl)
– Dat mii duođai loahpas dagahii ahte mearridin     geassádit     , lei go eai bovden mu stivračoahkkimii , ja dalle mun mearridin oalát geassádit gielddapolitihkkas . #0 (refl)
 #SO-Loc (refl)
– Dat mii duođai loahpas dagahii ahte mearridin geassádit , lei go eai bovden mu stivračoahkkimii , ja dalle mun mearridin oalát     geassádit     gielddapolitihkkas . #0 (refl)
 #SO-Loc (refl)
Mannan mánus     geassádan      #0 (refl)
Ođđajagemánus dieđihii ge Marit Kirsten A. Gaup ahte son     geassáda     Bargiidbellodaga sátnejođiheaddji evttohassan . #RO-Ess (refl)
Dál lohká Gaup sus lea hui buorre dovdu maŋŋá_go mearridii     geassádit     , muhto seammá buori dovddu ii loga leamaš dan áiggis lei nammaduvvon bajimužžii Kárášjoga Bargiidbellodaga listui . #0 (refl)
Ii ge dál ge leat gullon mihkke ge stivrras dahje bellodagas maŋŋá_go     geassádin     , muitala Gaup go Ávvir deaivvada suinna bargosajis Davvi_Girjjis . #0 (refl)
Son liikká ii mieđit sivvan boazodoalu vuostehágu dihte     geassádan     , go dan baicce lohká dahkan miellan šaddat sátnejođiheaddjin . #0 (refl)
Kárášjoga sátnejođiheaddji Kjell Sæther lohká Bargiidbellodaga vuosttaš listtu rájes leat olusat     geassádan     , ja ieš maid lea , nu go Máret Kirsten Gaup , geassádan priváhta sivaid geažil . #0 (refl)
 #0 (refl)
Kárášjoga sátnejođiheaddji Kjell Sæther lohká Bargiidbellodaga vuosttaš listtu rájes leat olusat geassádan , ja ieš maid lea , nu go Máret Kirsten Gaup ,     geassádan     priváhta sivaid geažil . #0 (refl)
 #0 (refl)
– Nu Nikkinen lea máilmmi buorre sátnejođiheaddji evttohas go šattai nu ahte Marit Kirsten Gaup     geassádii     . #0 (refl)
Norga ovdánahttá baicca loktet soahtedoaimmahaga 1,2 miljárddain , dan áigodagas go eará NATO-riikkat leat     geassádeame     eret doppe . #eret+SO-Loc (refl)
Jus it     geassát     eret , boaran , de billistan mun du penšuvnna , boađán du guossái ja cahkkehan biebmoelliid ! #eret (refl)
Ávžžuheaddjit dáhttot váldočoahkkima miessemánu 19. beaivvi jienastit ja doarjut ahte Statoil galgá     geassádit     bihkkasáttoprošeavttas . #SO-Loc (refl)
Fállejoga moallavákta Kjetil Thomassen fertii     geassádit     bargolihkuhisvuođa geažil ja dan sadjái bođii Ráissa čiekči Henrik Henriksen . #0 (refl)
Dál lea Bargiidbellodat     geassádan     ovttasbarggus Guovddášbellodagain , ja Anne Toril Eriksen Balto ( Gb ) lohká dohkálažžan dan . #SO-Loc (refl)
Porsáŋggu_gielda lea juo árvvoštallagoahtán     geassádit     sámegiela hálddašanguovllus , go eai nákce goluid maid « sámi-stáhtus » buktá gildii . #SO-Loc (refl)
Dušše 348 sis bohte čuoigat , ja sii geat     geassádedje     leat suopmelaččat ja norgalaččat . #0 (refl)
Čuđiid jagiid bistán kolonialismma dihtii mapuche-indiánat leat vehážiid     geassádan     iežaset árbevirolaš eatnamiin Chile gáidoseamos várreguovlluide . #SO-Loc (refl)
Synne M. Haagensen vuittii bronssa vaikke šattai     geassádit     gilvvus go roasmmohuvai . #SO-Loc (refl)
Go njeallje jagi lea bargan buvttadeaddjin álgoálbmotfestiválas Riddu_Riđus , de     geassáda     Christina Hætta . #0 (refl)
Ovdal Guovdageainnu Johttisápmelaččaid Searvvi ( GJS ) ievttá jahkečoahkkima , sáddii GJS stivra dieđu mediai ahte bohtet čoahkkimis ávžžuhit searvvi     geassádit     Norgga_Boazosápmelaččaid_Riikkasearvvis ( NBR ) , go sis ii leat šat luohttámuš riikkasearvái . #SO-Loc (refl)
Ávvirii muitala GJS jođiheaddji Nils Mathis Sara ahte son lea gearggus     geassádit     ámmáhis jus fal jahkečoahkkin ii čuovvol stivrra ávžžuhusa . #SO-Loc (refl)
Dat dieđus mearkkaša Árjja joavkku buoremus ovttasbargoguoibmi     geassáda     dakkár koališuvnnas ahte stivret Sámedikki ovttas NSR joavkkuin . #SO-Loc (refl)
Guokte jagi maŋŋel beakkehii ođas ahte Sámediggepresideanta     geassáda     oktan sámediggeráđiin . #0 (refl)
Duogážiin go Aili Keskitalo dalle válljii váldit dan lávkki ja     geassádit     ledje su čilgehusa mielde stuora ovttasbargováttisvuođa « njelješjoavkkuin » ja earenoamážit Sámit Lulde áirasiin gii maid lei várrepresideanta . #0 (refl)
Sámiid_Vuorká-Dávviriid stivra lea     geassádan     ovttasbarggu go eai leat duhtavaš mainnalágiin RiddoDuottarMuseat leat vuoruhan doaimmaid . #TH-Acc (tv)
Ollugat     geassádedje     eret Jesusa daguin ja sániin . #SO-Loc (refl)
Biibbalis muitala ahte muhtimat geat čuvvo su ,     geassádedje     sus ja eai šat mannan su mielde . #SO-Loc (refl)
Go olbmot iešguđet sivaid geažil leat massán iežaset giela ja kultuvrra ja go sii     geassádit     giellagulli kultuvrras eret , de boktá dat giella- ja kulturberošteddjiid dovdduid , lohká son . #SO-Loc+eret (refl)
Go skuvla sirdui Áltái , de oaivvilde muhtumat ahte Sámemiššuvdna galggai     geassádit     Øytunas ja baicca álggahit doaimmaid mat ledje buorebut sámi álbmoga váste . #SO-Loc (refl)
Son     geassádii     gilvvus vai baicce lea vuoŋis ja rivttes gearggus lávvardaga vuodjat su favorihttasuorggi mii lea 400 medley . #SO-Loc (refl)
Joavkojođiheaddji     geassádii     maid seamma siva geažil . #0 (refl)
Sámiráđi jođiheaddji vuordá ahte investorat     geassádit     Arctic_Gold ruvkefitnodagas , go oaivvilda sin rihkkut olmmošvuoigatvuođaid . #SO-Loc (refl)
    Geassáda     Árjjas   #SO-Loc (refl)
searvvi     geassádit     váldosearvvis . #SO-Loc (refl)
Sámiid_Vuorká-Dávviriid ( SVD ) stivralahtut     geassádan      #0 (refl)
Ragnhild Nystad dovdá iežas áitojuvvon go ii vuollán     geassádit     Sámiid_Vuorká-Dávviriid #TH-Acc (error)
Sii leat guhká oaivvildan ahte Norga berrešii     geassádit     ILO 169. konvenšuvnnas . #SO-Loc (refl)
– Go mii ovddit háve vuosttaldeimmet plánaprográmma , de dagahii dat ahte Arctic_Gold     geassádii     dain lulliguovlluin Biedjovákkis , mii fas mielddisbuvttii ahte mii beasaimet gárddi hukset dohko . #SO-Loc (refl)
Sikku     geassádii     go oinnii ahte ii leat doarjja . #0 (refl)
Sámi Riikkabellodat háliidii parlamentáralaš stivrejumi Sámediggis , ja go eai ožžon eanetlogu , de     geassádii     evttohassan . #RO-Ess (refl)
    Geassáda     jođiheaddjin #RO-Ess (refl)
Ođđa sámediggeráđđelahttu Silje Karine Muotka     geassáda     Áltá Sámiid Searvvi jođiheaddjin . #Ro-Ess (refl)
Son háliida ahte galgá dilli lea nu čorgat go vejolaš , ja dan_dihte lea dieđihan ahte ferte     geassádit     . #0 (refl)
Nu     geassádedje     sii iežaset posišuvnnain nubbi nubbi ja guđđe SÁL .
Dán dieđus leat boazodoallit ieža vuohttán áigá juo , ja dan ektui lea ovdal dahkkon dutkan mii duođaštii ahte boazu     geassáda     guhkás eret linjjáin . #DE-Ill+eret+SO-Loc (refl)
Ii ge dán rádjái leat gal maid Finnmárkokommišuvnna vuoigatvuođačielggademiiguin okta ge finnmárkulaš šaddan « hearrán iežas dálus » , nu go ledje dat stuorra sánit , go Finnmárkoláhka ásahuvvui ja dalá eananhálddašeaddji Statskog šattai     geassádit     Finnmárkkus . #SO-Loc (refl)
Muhto dalle     geassádii     Rio Tinto Zinc , earret_eará dan_dihte go dalá Norgga beale sámediggepresideanta Ole Henrik Magga ( Norgga_Sámiid_Riikkasearvi ) gevrii ruvkefitnodaga eret Ráiteváris , Norgga beale Sámis Kárášjoga_gielddas . #0 (refl)
Danin ávžžuha son FeFo     geassádit     eret Finnmark Kraft AS el-fápmofitnodagas , mii earret_eará áigu cegget 60 bieggameallu Gearretnjárgga boazoorohaga eatnamiid ala Fálesnuorrái , Oarje-Finnmárkkus . #eret+SO-Loc (refl)
Varsi áiggui logaldallat informašuvnna birra sámi áššiin , muhto     geassádii     olles sáhkavuorus go Gieldda- ja ođasmahttindepartemeanta dáhtui su rievdadit bajilčállaga dan logaldallamis ja gáibidedje maid beassat dárkkistit muđui mánusa . #SO-Loc (refl)
Dakkár árgivuohta , ahte     geassádit     sponsoran dušše dan geažil go Riddu_Riđđu lea sámefestivála , ii doala dási , go dat addá dušše leahtu sámi vuosttaldeddjiide doallat heakkas dološ myhtaid ja riidduid mat leat sámiid ja dáččaid gaskkas . #RO-Ess (refl)
Telenor doalaha ge áibbas čielgasit heakkas ovdagáttuid sámiid vuostá , go     geassádedje     sponsoršiehtadusas dan geažil go soapmásat cielahišgohtet sámiid . #SO-Loc (refl)
Leaš dal ráđđealmmái vai dearvvašvuođa- ja fuolahusjođiheaddji , vai     geassáda     go sátnejođiheaddji go ii leat iežas barggu bargan . #0 (refl)
Son vel lasiha ahte sáhttá nu geavvat ahte son     geassáda     sátnejođiheaddji ámmáhis maŋŋel_go raporta almmuhuvvo . #SO-Loc (refl)
Dan olis dieđus lea gažaldat ahte lea go sátnejođiheaddji gii ovddemuš berre     geassádit     . #0 (refl)
Diibmá áiggui son searvat 1. divišuvnna ráidospealuide Kárášjoga sisbándijoavkku ( KIBK ) mielde , muhto KIBK     geassádii     das ja searvvai 2. divišuvnna spealuide . #SO-Loc (refl)
Dán vahkku lea dus dárbu     geassádit     veahá eret ja leat veahá jávkosis . #eret (refl)
Muhtimat suhttet dasa maid son muitala , ja oallugat     geassádit     eret , eaige šat servvoštala singuin . #eret (refl)
Dát áigodat leat dutnje stuorra illun jus don veahá     geassádit     soaibmamis mii lea du birra , itge beroš olgguldas mihttomeriin . #SO-Loc (refl)
Duorastateahket dievai dieđihanáigemearri , muhto muhtimat leat     geassádan     , eai ge leat vel buot joavkkut riŋgen sutnje . #0 (refl)
· Mánát háliidit rávisolbmuid váldit ovddasvástádusa , iige     geassádit     vai ieža eai dárbbaš gierdat unohasvuođaid . #0 (refl)
Sivva manne     geassádan     miellahttun SVD Sámiid Vuorká dávviriid musea ja historjjá searvvis #RO-Ess (refl)
Go jo miellahtuid eanetlogus ii leat váikkuhanvejolašvuohta šat dien searvvis , de lean mearridan     geassádit     lahttun dien searvvis . #RO-Ess (refl)
Mun ávžžuhan maiddái earáid     geassádit     geat eai doarjjo diekkár eahpedemokráh #0 (refl)
    Geassádit     OffroadFinnmarkas #SO-Loc (refl)
Telenor     geassádan      #0 (refl)
    Geassádedje     « LUOSSADIKKIS »   #SO-Loc (refl)
Mun lean hupman guvttiin stivralahtuin juo geat leaba dadjan ahte     geassádeaba     ja nu dagan mun nai , lohká son . #0 (refl)
Son     geassádii     go oaivvilda Sámedikki vuosttaldit vuođđudusa barggu seailluhit boares márkosámi kultuvrra , árbevieruid ja historjjá Sáččás . #0 (refl)
Sámi viessu Njukčavuomis Sáččás rahčá ja dál lea stivrajođiheaddji     geassádan     go su oaivila mielde Sámediggi vuosttalda vuođđudusa idéaid . #0 (refl)
Dat leage dagahan ahte Sámi viesu stivrajođiheaddji lea     geassádan     . #0 (refl)
Mánát háliidit rávisolbmuid váldit ovddasvástádusa , iige     geassádit     vai ieža eai dárbbaš gierdat unohasvuođaid , deattuha Risten Kemi . #0 (refl)
Mánát háliidit rávisolbmuid váldit ovddasvástádusa , iige     geassádit     vai ieža eai dárbbaš gierdat unohasvuođaid , deattuha Risten Kemi . #0 (refl)
Porsáŋgu lea dađi bahábut     geassádan     sámegiela hálddašanguovllus ! #SO-Loc (refl)
Dat geat dieđihit iežaset eaktodáhtolaš bargin mearridit ieža man ollu háliidit bargat , ja sáhttet maid     geassádit     go háliidit , čállá Deanu iežas ruovttusiiddustis . #0 (refl)
Muhto vaikko homofiilaášši ii galgga váikkuhan masage , de liikká oallugat     geassádedje     Norgga girkus dán jagis . #SO-Loc (refl)
Mearraolbmáidbáhppa Jan Olav Johannessen ( 64 ) lea doaibman sadjásaš váldočállin njukčamánu rájes maŋŋil go Audun Myhre     geassádii     virggis . #SO-Loc (refl)
Bellodat doalai lávvardaga jienastančoahkkima Örnsköldsvikas , maŋŋil go bellodatnjunnošat ledje cealkán eahpeluohttámuša jođiheaddji Ol-Juhan Sikku hárrái ja ávžžuhan su     geassádit     buot iežas luohttámušdoaimmaiguin , čállá oddasat . #SO-Loc (refl)
    Religion texts –
Muhto niegus son rávvejuvvui     geassádit     Galileai , ja doppe son ásaiduvai gávpogii man namma lei Nasaret . #De-Ill (refl)
Dasto Jesus     geassádii     eret jávregáddái máhttájeddjiidisguin , ja ollu olbmot Galileas čuvvo sin . #eret+DE-Ill (refl)
Muhto son geahččalattai     geassádit     ávdin báikkiide rohkadallan dihtii . #DE-Ill (refl)
» Ieš son     geassádii     eret sis birrasii geađgebálkestaga duohkái , luoitádii čippiidis ala ja rohkadalai : « Áhčážan , jos dáhtut , de váldde mus eret dán geara ! #eret+DE+Ill (refl)
Dán rájes olusat su máhttájeddjiin     geassádedje     eai ge šat vádjolan suinna . #0 (refl)
» Sii geat galge gažadit su ,     geassádedje     dallánaga . #0 (refl)
Go sii ledje     geassádan     sierranassii , de háleštedje gaskaneaset ja dadje : « Dát olmmái ii leat dahkan maidege mas ánssáša jápminduomu dahje giddagasa . #DE-Ill (refl)
Muhto go sii bohte , de     geassádii     eret ja doalahii sierra , danne_go son balai sis geat ledje birračuhppojuvvon . #eret (refl)
Oskuguoimmit , mii gohččut din Hearrá Jesus Kristusa nammii     geassádit     eret juohke oskuguoimmis guhte vádjola joavdelasvuođas , ii ge dan oahpu mielde man vuostáiválddiidet mis . #eret+SO-Loc (refl)
Mii eat gula sidjiide guđet     geassádit     ja mannet gáđohussii , muhto sidjiide guđet oskot ja bestet sieluset . #0 (refl)
Sii suorganit , ja fáhkka     geassádit     heahpadiin . #0 (refl)
Mu vašálaččat     geassádedje     , sii jorraledje ja dušše du muođuid ovddas . #0 (refl)
    Geassádehkoset     sii gudneheapmin geain leat bahás áigumušat mu vuostái . #RO-Ess (refl)
Mu vašálaččat     geassádit     dalle_go mun čuorvvun dutnje . #0 (refl)
De beaivváš badjána , dat     geassádit     eret ja veallánit biejuidasaset . #eret (refl)
Sii suorganit , ja fáhkka     geassádit     heahpadiin . #0 (refl)
Mu vašálaččat     geassádedje     , sii jorraledje ja dušše du muođuid ovddas . #0 (refl)
    Geassádehkoset     sii gudneheapmin geain leat bahás áigumušat mu vuostái . #RO-Ess (refl)
Mu vašálaččat     geassádit     dalle_go mun čuorvvun dutnje . #0 (refl)
De beaivváš badjána , dat     geassádit     eret ja veallánit biejuidasaset . #eret (refl)
    Non-fiction texts –
Jos eahpeluohttámuš oažžu eanetlogu jienasteamis Stuorradikkis , de ferte Ráđđehus     geassádit     . #0 (refl)
Mearkkaša ahte ráđđehus     geassáda     jos ii oaččo eanetlogu su evttohussii . #0 (refl)
Jury     geassáda     árvvoštallat #PU-Inf (refl)
Filosofalaš ságastallan ii doaimma jus oahpaheaddji     geassáda     ja diktá ohppiid áibbas veaiddalassii ságastit . #0 (refl)
Bellodat lea dat áidna mii háliida ahte Norga     geassáda     NATO:s . #SO-Loc (refl)
Vuolle-kapihttalat Čujuhusat oahppogirjái Kopiijaoriginálat Go eallin fáhkka rievdá s. 198 9.1 skovvi mii geavahuvvo dikkis 9.2 Jurija     geassáda     dál . #0 (refl)
Loga máŋgenoriginálas 9.5 Jury áigu dál     geassádit     eret man Agnar Mykle lea čállán , ja dárogielgirjjis digaštallama // ságastallama birra ja reportáša . #eret+TH-Acc (tv)
4.1.2 “ Jury     geassáda     sierranassii ” #DE-Ill (refl)
Lea dábálaš arviáiggis ( 3 mánu suoidnemánu rájes ) muŋkkat ja nonnat     geassádit     tempeliidda ja kloastariidda gos sii jurddašit čiekŋalis jurdagiid ( mediterejit ) ja studerejit . #DE+Ill (refl)
