[lemma = "galgat"][msd = ".*Ill.*"]
Boađus: 1 160
Ovddit1
2
Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
– Mun ledjen ieš barggus dalle , ja olmmái geas lea sáhka , ii 	galgan bargui 	ovdal eahkes .
Maiddái muitala ieš vuoddji ahte son lei leamaš feasttas eahkeda ovdal , muhto son biehttala ahte son 	galggai bargui 	ovdal nuppi eahkeda , go Mihkkal galggai bargat dassážii go son lei gearggus mannat bargui .
Lea veara otnáš beaivvi maid čujuhit dán čevllohallanveara sámi ovdahistorjái , ahte sámi servodat 	galgá sámiide 	.
Plánaid mielde maid departemeanta lea ožžon , 	galget vistái 	čáhkat allaskuvla , Sámi Instituhtta , Sámi arkiiva ja Sámi ja suoma báikenamaid nammanevvohat .
Dan dihte ánssášit sii máksojuvvot iežaset barggu ovddas , go juo gávdno ruhta mii 	galgá dasa 	geavahuvvot .
Dakko bokte sáhttáge dat ášši leat mávssolaš čáhput-áššái Olmmáivákkis mii maid lea eanavuoigatvuođas sáhka , mii maiddái 	galgá Alimusriektái 	fargga , čilge Strøm Bull .
Dát girji 	galgá nuoraide 	čájehit sin vejolašvuođaid ja fálaldagaid suohkanis ja rávvet sin , ja ulbmil lea ahte dákkár skuvlabeaivegirji galgá ráhkaduvvot juohke skuvlajahkái .
Nils Skum ii loga olbmuid 	galgat homofiliijaáššái 	iežaset seaguhit .
Nystø ferte maid máhttit muitalit juste mo áigu buoridit dili , ja diehtit man olu ruđa Sámediggi 	galgá dasa 	bidjat .
Eandalit ruonáeatnanlaš polka lea kulturoassi maid áinnas 	galggašedje sápmelaččaide 	oahpahit .
Son čilge ahte jus ruđat 	galget sámegillii 	, de fertejit dan árvvoštallat boahtte háve go ráhkadit ođđa báberruđaid .
Sámi Dáiddačehpeiid Searvvi jođiheaddji Annelise Josefsen lea čielggas go dadjá ahte dáiddaallaskuvla 	galgá Kárášjohkii 	ásahuvvot .
Mii leimmet juo eahkeda ovdal páhkkin gearvvisn koaffariid , lei dan dihtii go arrat 	galggaimet mátkái 	.
Elle ja Siv Káre eaba riekta dieđe maid 	galgaba čakčii 	.
Boahtte vahkkoloahpa 	galgá Madridii 	, ja mánu geahčen ges Lulli-Afrihkii .
Ovdal leat mii leamaš doaresbealde , nu ahte dál 	galgá olbmuide 	álkit gávdnat min .
Sáhttá ovdamearkka dihte mearridit ahte árvalus 	galgá hálddahussii 	dahje vuolit orgánaide meannudeapmái .
Teaksta 	galgá eŋgelasgillii 	, ja ferte leat gárvvis ovdal njukčamánu 1. beaivvi .
Jus 	galgat árvvoštalliide 	jáhkkit , de vuorddašat gelddolašvuođas buori historjjá ja buriid neavttáriid .
Dál dáhttut baicce gulahallat Sámedikkiin maid 	galget ovddasguvlui 	bargat ja movt buoremusat čoavdit láhkabarggu .
Ovddádusbellodat oaivvilda ahte skuvlla oahpahusgiella 	galgá dárogillii 	.
Muhtumat dain logi lonohallanohppiin geat 	galget Finnmárkui 	leat juo ožžon bearrášiid gean lusa galget , sii geat eai leat vel ožžon dieđu geaid luhte galget orrut leat dál vuorddašeame ruovttuineaset vástádusa .
– Moai letne eamidiin heŋgen plahkkaha gievkkanseaidnái mas oaidná maid 	galgá guđege 	bussii coggat , lohká Sæther .
Ja leat ge juste dát rihpabusset mat 	galget boaldimii 	mat leat Finnmark Miljøtjeneste oaivebávččas .
Dát filbma 	galgá giđabeallai 	čájehuvvot norgga kinos .
– Alit dáidda oahppu 	galgá Kárášjohkii 	
Dieđán Sverre sihkkarit lea smiehttan dárkilit maŋimuš áiggiid maid son 	galgá journalistii 	muitalit .
Buot mii dáhpáhuvvai skuvlla áiddi siskkobealde galggai leat čiegus , ja dat ii 	galgan albmosiidda 	boahtit , muitala Sverre .
Čoahkkinjođiheaddji Per Solli áinnas oainnašii ahte Sámedigeáirasat geat 	galget sárdnestullui 	leat gergosat go lea sin vuorru .
Son riŋge Min Áigái ja lohká aviissa bákkus fertet čállit sin birra go 	galget tv:ii 	.
	Galgá guktui 	gillii .
Son dadjá min nieddážiid , geain eai vuos leat čiččit , eai 	galgga daidda 	guoskat .
Dasa lassin dáhttuba ásahit Sámediggái láhkaossodaga mas lea lagas oktavuohta sámiduopmostuoluin mii 	galgá Detnui 	.
Čoarvvuš 	galgá seaidnái 	
, sámegillii čilgejun ahte dat lea čiegus raporta ja dat ii 	galgga earáide 	go dihto olbmuide .
Muhto jus 	galggašin skuvlii 	barguioahpahit duiskkagielat oahppiid sin gillii , de gal livččen coggan ieažan boasttu báikái .
- Jáhkan eatnašiid ovttaoaivilis ahte 	galggašeimmet Sámediggái 	.
Dattetge ii 	galggašii geasage 	leat amas ášši ahte Sámediggi lea garrasit vuosttildan viiddidit Meavkki // Arvenjárgga ja Hálkavári báhčinšilljuid .
Danin ii 	galggašii Sámediggái 	amas ášši makkár vahágiid dákkár doaimmat sáhttet buktit .
Danin ii 	galggašii Sámediggái 	amas ášši makkár vahágiid dákkár doaimmat sáhttet buktit .
Dasa lassin 	galgá vistái 	ásahuvvot girjerádju , álgoálbmogiid filbma- ja musihkkaguovddáš , mánáid ja nuoraidguovddáš , teáhterčájáhussadji , sierralágán dáidda- ja duodječájáhussajit ja mediasuorggi ovddidanprošeavttat
Jođiheaddji Berit Dagny Anti ii dieđe mo son 	galgá doarvái 	bures rápmot nieiddaid .
Dál fertet leat rehálačča : Áibbas loahpageahčen , go dat buoiddes áhkku lea lávlun , go gusat lea máhccan ruoktut ja go duohtavuohta 	galgá beaivečuvgii 	, de lea dušše okta dohkkálaš valáštallan - spábbačiekčan .
Dál fertet leat rehálaččat : Loahpaloahpas , go dat buoiddes áhkku lea lávlon , go gusat lea máhccan ruoktot ja go duohtavuohta 	galgá beaivečuvgii 	, de lea dušše okta dohkálaš valáštallan - spábbačiekčan .
Ii muhto … mii han 	galgat TV:ii 	.
- Jáhkán eatnašiid ovttaoaivilis ahte 	galggašeimmet Sámediggái 	.
Jođiheaddji Berit Dagny Anti ii dieđe mo son 	galgá doarvái 	bures rábmut nieiddaid .
– NNS stivra lea digaštallanevttohus , muhto mii duođaid eat dieđe máid 	galgat dasa 	vástidit .
Skånevik ii loga iežaset njuolggadusaid gieldit boazodolliid beassamis miellhattun vuovdinsearvái , muhto dat evttohus lea nu ođas ja amas ahte eai dieđe máid 	galget dasa 	vástidit .
Eahkes fuobmái Ásllat Heandarat ahte livččii 	galgan doaktárii 	riŋget .
– Ovdal šadde ollusat vánddardit Áltá bokte go 	galge Guovdageidnui 	dahje Kárášjohkii , muhto dál oatnu dat gaska 35 miillain ja hálbu maiddái dan mielde , mojohaddá bussevuoddji Hans Ingvald Hansen .
Skuvllat 	galget vuostái 	váldit sámi nuoraid miehtá riikka .
ČEVLLOHALLÁ : Kárášjoga sátnejođiheaddji Kjell Sæther ii dieđe mo son 	galgá doarvái 	bures rábmot Bård Vegard Balto ja eará sámi nuoraid geat oassálaste Arktalaš dálveriemuin Kanadas .
	Galge bivdui 	!
Moai 	galge bivdui 	!
Moai 	galge bivdui 	!
– Jus 	galggašin dása 	reágeret , de ferte leat dan oktavuođas go lean komponeren ovtta dain lávlagiin mat leat biddjon interneahttasiidui .
– Diet livččii várra 	galgan Issánii 	, kommentere Hætta .
– Dát foanda livččii galgan máŋga miljárdda ruvnno stuoris jus livččii 	galgan buohkaide 	.
Soai 	galgaba lundui 	ja sámi kultuvrii oahpasnuvvat albmaláhkái go boahtiba Sápmái .
Danne galgá boahttevuođa rogganrusttegiid oktavuođas leat váikkuhusčielggadeami neavvačállosis čállojuvvon ahte sámiid beroštumit ja boazodoalloberoštumit 	galget doarvái 	čuvgejuvvon dakko gokko dat lea relevánta , dadjá oljo- ja energiministtar Einar Steensnæs .
Jus muhtin uminddet ( vuollel 18 jahkásaš ) áigu ohcat dalle 	galgá ohcamuššii 	leat čállán muhtin fuolaheaddji dahje bajit forminddar .
Jos ođđa šaldi 	galggaš Detnui 	, de galggašii dát vuolledetnui .
Mannan vahkus dat bosádii Kjell Sæther NRK Sámi Radios digáštallama johtui , go dajai ahte Sámi spábbačiekčanriikajoavkku ruovttušillju 	galggašii Kárášjohkii 	.
Varsi ballá ahte gieldda hálddahusas šaddá hedjonit sámegielfálaldat maŋŋil go Sámediggi mearredii ahte giellaruđaid 	galgá skuvllaide 	ja mánáide vuoruhit .
Ii gostege čuoččo ahte dát ruđat 	galggašedje kurssaide 	mannat , loahpaha Maurstad .
Das lea konklušuvdna ahte gielddain leat stuorit golut go sisaboađut go 	galget guovttegillii 	bálvalit olbmuid gielddas .
Min mielas ii 	galgga gielddaide 	bidjat eanet bargguid go jo leat , lohká Urheim .
Johan Mikkel Sara deattuha ges ahte ruđat eai 	galgga oahpahussii 	mannat .
Min mielas ii 	galgga gielddaide 	bidjat eanet bargguid go jo leat , lohká Urheim .
Johan Mikkel Sara deattuha ges ahte ruđat eai 	galgga oahpahussii 	mannat .
Ođđa ja bistevaš Gáržžideamit Ealáhusdoaimmahanfriddjavuhtii ii 	galgga geasage 	guoskat Boahtteáiggis .
Dál 	galggat earáide 	muitalit juste nu movt juohkediŋga leat , it ge čiegadit maidege .
Bargguid vuolde lea ođđa čájálmas mii 	galgá Várggátmuseii 	, ja mii galgá šaddat jahkásaš čájálmassan .
– Danne 	galget daidda 	maid fállot dat 450 duhát ruvdno doalu ovddas , nugo earáide dahket , dadjá Hætta .
It 	galgga dasa 	stirdut , muhto baicca geahčadit makkár vejolašvuođat dus leat .
– Fitnodat 	galgá Mázii 	ásahit vuovdin- ja bálvalusguovddáža , čilge Bjørn .
- Fiber 	galgá buohkaide 	
Dálkkasgávppis 	galggaše olbmuide 	láigohit beatnagiid ...
It 	galgga sutnje 	luoikat ruđa ovdal go dieđát juste goas oaččut ruovttoluotta vealggi .
Fylkkamánni ja stáda eaba 	galgga dása 	seaguhit , muhto váldit vuhtii álbmoga mii lea eallán luondduin máŋggaid buolvvaid .
Stáhtabušeahtas juolluduvvo 9 miljovnna ruvnno bonusortnegii mii 	galgá sidjiide 	geat unnidit boazoealuideaset .
Seammás 	galgá suohkaniidda 	eanet fápmu eanet bargguid ja ruđa bokte .
PONDUS Gula , mun lean dadjan ahte ii Bjarne 	galgga šilljui 	baikit !
Čebu Vuolgge geahččat beasat oaidnit mo ferten go 	galggan čájáhussii 	.
Teakstačoakkáldat

Administrative texts
iešvuohta dán teavsttas

tihttel: __UNDEF__

jahki: __UNDEF__

čálli sohkanamma: __UNDEF__

domeana: administration

čálli ovdanamma: __UNDEF__
sáni iešvuohta

sátneluohkká: vearba

sojahananalysa: V.IV.Ind.Prs.Sg3

dependeansa: undefined
Čájet dependeansamuora
Boađus: 1 160
Ovddit
1
2Čuovvovaš
Cealkkačájeheapmi
	Min Aigi –
Lákkonjárga lea orohat mii galgá eanemus njuovvat ja bággonjuovvan raportta vuođul eai 	galgga orohahkii 	báhcit eará guhtta doalu otná 20 doalus .
It 	galgga earáide 	muitalit iežat hutkosiid .
Dat mearrida makkár olbmot 	galget luohttámušdoaimmaide 	.
Dat buktá hástalusaid go 	galget sámegillii 	čájehit bihtáid .
Go vuovdá girdišillju ja fievrredeapmái ruovdemáđineahta geavahanrievtti de 	galgá dasa 	biddjot 25 proseantta lasseárvovearru .
Jus lea juoga maid 	galggažat earáide 	čilget , de fertet daid máŋgii geardduhit vai buohkat ipmirdit .
Áiggun dadjat iežan studeren ustibiidda ahte 	galggaše alcceseaset 	udnot moadde jagi Finnmárkkus orrut !
Ii oktage 	galgga dutnje 	muitalit maid don galggat bargat ja maid it galgga bargat .
Lagamus áiggis 	galgá virgái 	biddjojuvvot sierra prošeaktajođiheaddji .
Muhto son ii dárbbašan šat lávlut , iige livčče dárbbašan ballat , go maiddái Idola jurys oaččui Elle Márjá aivve rámi ja buohkat ledje ovttaoaivilis ahte 	galgá Osloi 	.
Lea olu mii 	galgá sadjái 	go ná stuora márkanat galget lágiduvvot .
Earret eará de 	galgá eananeaiggádii 	dahje geavaheaddjái addit buhtadusa go gáhttendoaimmaiguin čatnet guovllu .
Dát 	galget buohkaide 	gullat , hálddašuvvot stáda bealis ja stáda lea friddja vuovdit priváhta oamasted d jiide jus dan dáhtoš .
Guovllu leansmánnit mearridit goas 	galgá virgái 	álgit .
Romssa sámiid searvvi mielas Romssa álbmotgirjerájus 	galgá virgái 	bidjat sámegielat girjerájusfágalaš bargi geas lea sámi kulturgelbbolašvuohta .
Ballo oaivvilda maiddái ahte lávdegottičoahkkimiidda 	galggašii mediaide 	rabas uksa vai álbmot diehtá mii doppe daddjo ja ákkastuvvo .
	Galggat giddagassii 	!
Dasa lassin 	galgá sámiide 	addojuvvot vejolašvuohta searvat dáid resurssaid hálddašeapmái .
Dilli lea leamaš dainna lágiin ja lea ain dál nu ahte go áigu seastit ruđa de lea áibbas dábálaš heaittihit dahje unnidit doaimmaid ja bálvalusaid iešguđetge ásahusas ja etáhtas - dat mearkkaša ahte daidda fálaldagaide , mat 	galggaše álbmogii 	buresbirgenriikkas , dat čuohcá .
Mii eat šatta boahtit doaluide danne go 	galgat meahccemátkái 	, nu movt dieđát .
Ohcejoga gielda lea dál gárvvisteamin plána mii 	galgá gielddastivrii 	borgemánus .
- Lean ádden ahte 	galget Njuorggámii 	dušše 100 ođđa huksensaji .
Fosse ii láve dábálaččat searvat vuosttaščájálmasaide , muhto dán háve ii máššan go bihtát 	galge sámegillii 	čájehuvvot .
Dál lea sus ollesáigge bargu dán jagáš diŋgojuvvon bargguin mii 	galgá feastaspealuide 	mat lágiduvvojit geassemánu .
	Galggašii doarvái 	ahte olbmot eaiggádit eatnamiid , nu movt Suoma láhka geatnágahttá , lohká luossabivdi Sombby Lemet .
Muhtumat maid lohket ahte 	galggašii sidjiide 	buktit gánddaža , dalle son njuolggašii .
Fargga 	galgat Göteborgii 	, muitala Ánte Siri ja jurddašallá leago vajálduhttán ovttage báikki .
Maŋemus jándoriid leat sii geat orrot Nilutluottas šaddan vánddardit fatnasiin jus 	galget márkanii 	.
Son oaivvilda dat vuoigatvuohta 	galgá buohkaide 	geat oamastit eatnama Deanuleagis .
Sihkarvuođa ákkaid dihte fertet leat deavdán čieža jagi jus 	galggat dasa 	beassat searvat .
Čoahkkimis digaštalle maid goas ja movt láhka 	galgá fápmui 	boahtit , ja galgá go láhka boahtit fápmui buot oktanaga vai galget go muhtin oasit biddjot ovdal fápmui .
Dát lea min vuosttaš deaivvadeapmi , lohká stáhtačálli Hætta ja čilge ahte ráđđehus dat loahpalaččat mearrida goas láhka 	galgá fápmui 	biddjot .
Go guorbmebiillas lea dievva vuola mii 	galgá njárgii 	, dalle lea deaŧalaš hui várrogasat vuodjit .
- Mun váillahin molssaeavttu gáktái go 	galgen doaluide 	vuolgit lulde .
Sus lei teaksta gárvvis mii 	galggai sámegillii 	.
Okta dain joavkkuin geat 	galget lávdái 	lea Jiella .
Utsi lohká iežas dárbbašit sáddo mii lea vel báhcán go 	galgá mašiinnaide 	vuođu muvret .
Muhto Trosten logai mannan vahkkus ahte Finnmárkoopmodaga 	galggašii Porsáŋgui 	ásahit .
Persen lohká dát supmi 	galggašii máŋgga 	geardái duppalastot .
- Mu mielas 	galggašii buohkaide 	geat orrot vuonain lohpi bivdit dan mii lea mearas .
Láhka 	galgá ássiide 	váfistit vuođđovuoigatvuođaid mat gusket sámegiela geavaheapmái .
- Sámedikkis lea dál konsultašuvdna šiehtadus ráđđehusain , mii 	galggašii dán 	áššái sáhttit ávkin .
- Alehttá livččii 	galgan fuolahusvistái 	, muhto mis ii lean sadji , danne fertiimet su b idjat boarrásiid ásodahkii , muitala Kárášjoga dearvvašvuođa- ja sosiála hoavda Svein Persen .
Gielda livččii 	galgan midjiide 	addit dieđu dán birra ovdal , lohká jođiheaddji Alma Helander .
Eai 	galgan luhtui 	báhcit stuorra dollasajit , ja nu billistit luođu ( luonddu ) ja guohtuma , son lávii lohkat .
- Ášši 	galgá stivrii 	
- Mun in sáhte kommenteret šaddá go dán riiddus makkár ge váikkuhus šiehtadallamiidda , muhto dat lea čielggas ahte šiehtadus 	galgá daidda 	duojáriidda geat ellet dujiin , lohká John Meløy .
Son lohká politiijaid riŋgen ahte son 	galgá guovtti 	beaivái giddagassii , muhto dohko ii leat jurddašan gal vuolgit .
	Galgágo sámegillii 	jorgaluvvon lágas leat seamma árvu go dárogillii čállojuvvon lágas dikkis vai ii ?
Vilges fosfora ii 	galgga birgui 	mannat , muhto manná vuoivasii , lohká Hilde Haug , Gaska-Romssa Biebmobearráigeahču guovlluhoavda .
Su mielas aŋkke livččii ášši 	galgan gulaskuddamii 	, go Finnmárkkulága viidasit bargguide lea álbmogis stuorra beroštupmi ja das leat rašis bealit maid berrešii gullat ovdal maide mearrida .
Dás morranii Ronaldis eambbo mearridan-miella , ja egoisttalašvuođain áiggui son ainjuo mearridit man ollu mielki 	galggai dáigái 	.
Dađistaga 	galget šilljui 	maiddái ilbmat dollasadji , njoarostanbáiki , sáttokássa , barta , ja muorra gilvvahat .
Suohkana dispensašuvdnalávdegoddi ferte diehtit geat leat dubmehallan , eai ge 	galggaše sidjiide 	, jus ohcet , addit vuodjinlobiid meahcis dahje loddenlobiid .
Jus 	galggan Čáhcesullui 	dahje Hámmárfestii , de ferten Romssa bokte mannat .
- Lea ártet go ná váttisgielat reivve sáddejit , go dihtet ahte reive 	galgá dakkáriidda 	geat eai leat oahppan lohkat ja čállit , lohká Sara Tornensis Bongo USKAV searvvis .
Lea heittot ja váidalahtti go áigemearri ii leat nu go dábálaččat 	galgá gulaskuddamiidda 	, 3 mánu .
Distaga lei vuosttaš golmma almmuheamis , geat 	galget OG:ii 	.
- Lei juo vuogas beassat diehtit ná áigá ahte 	galgá OG:ii 	, de beassá juo ráhkkanišgoahtit dohko , lohká Klemetsen , gii lea dáid beivviid boahtime davás juovllaid ávvudit .
Válggat 	galget distahkii 	áibbas čielgasat , dieđiha VG .
Dehálaš lea maiddái ahte stivra ii leat nagodan bargat doarvái bures ovttas skuvllaiguin ja danne lea massán dehálaš dieđuid mat skuvllaid birra livčče 	galgan eiseválddiide 	.
Váldohálddahus 	galgá Porsáŋgui 	.
Olsena evttohusas ovdagoddái bohtet ovdan guottuid rievdadeami ektui doaimmat nugo ahte BUFETAT ( Mánáid- , nuoraid- ja bearašetáhta ) galgá dál guđa olbmui oahpahit mánáid bajásgeassima , mii 	galgá mánáidsuodjalussii 	gelbbolašvuohtan .
Boyne lohká sin bargu 	galgá buohkaide 	šaddat ávkin , erenoamážit daidda olbmuide geat beaivválaččat geavahit sámegiela dán guđa sámegielddas .
Jus barggu oktavuođas 	galggat mátkái 	vuolgit de sáhttá hui buorre šaddat dutnje .
Ii vuos , 	galggan bargui 	ihttin .
FB-mihttomearit ahte eambbo olbmot geain lea vuoliduvvon bargonákca 	galget bargguide 	, eai leat olahuvvon .
Mu mielas livččet ovddit háve jo 	galgan finalii 	.
Juohkehaš gii háliida 	galgá alccesis 	ráhkadit leaŋggaid .
Diet foanda lea juo orron Sámedikkis dan rájes go Bondevika foandda almmuhii , ja mii 	galggai sámeálbmogii 	leat buhtadussan dáruiduhttima ovddas .
Guovllu leansmánnit mearridit goas 	galgá virgái 	álgit .
- Čoahkkimis mearredeimmet ahte sii 	galget Guovdageidnui 	čilget bargiide Ávjovári Eamiálbmotguovllu birra ja makkár buorit bealit dás leat ja makkár váikkuhanvejolašvuođat bargiin leat vaikko vel eai leatge stivrras , čilge Sæther .
makkár sisdoallu 	galgá sámeskuvlii 	
Eatnasat vurdet ahte reportárat 	galget guldaleddjiide 	muitalit oba VEAHÁ ge ieš guđet artistta birra , gii son lea , gos son lea eret , su musihka ( juoigama ) duogáža , gii šuoŋa // luođi ráhkadii ja gii sániid duddjui .
Danne 	galggašii gielddaide 	addot vejolašvuohta ásahit dakkár láhttu , man mielde báikkálaš olbmot besset vuodjit friddja , evttoha Sæther .
- Livččii veadjemeahttun ásahit doaibmi hálddahusa beaivvát ala jus ii livčče sin gelbbolašvuohta , stuorámus hástalus lea organiseret hálddahusa ahte 	galgá finnmárkulaččaide 	ávkin , čilge son .
- Mis lea hástaleaddji mánáidfestivála , gos mánát 	galget idjadanmátkái 	Čáhpuhii , ja besset bargat gáiccaiguin .
Dáid beivviid ii 	galggašii postii 	leat váttis gávdnat čujuhusaid , go eanaš geainnuin leat sihke ovddeš čujuhusat ja maiddái ođđa dohkkehuvvon čujuhusat .
- Muhto boahtte mánu rájes de 	galgá buohkaide 	šaddat álkkit gávdnat min sihke telefuvdnanummira ja poastačujuhusa .
Muhto go mii čilget Olli ; ii ahte almmuhuvvon telefuvdnanummir doalvvui min Čáhccesullui , ovddeš Statskog kántuvrii , čilge Olli dán ná : - Mii leat dál gaskaboddosaččat nu ferten dahkat , muhto vajot go mii beassat johtui , de 	galgá olbmuide 	álkkit juksat min ságaide juohke láhkai .
Vaikko lea buorre ekonomiija , de it 	galgga duššái 	golahit ruđa .
- Dán oahpahusfálaldaga eai oaččo eai gostege eará joatkkaskuvllain , ja de han 	galggašii doarvái 	ágga álggahit vel nuppi luohká nu ahte nuorat besset joatkit oahpu mainna leat álgán , čállá Utsi .
Jus mii 	galgat dillái 	boahtit ahte álgit oaguhit dákkáraš lágan ságaid juksandihte eanet ja eanet lohkkiid , de gal mii leat unohis ja uhccán miellagiddevaš dilis .
- Mii leat leamaš meahcis , veaháš duddjon ja boahtte vahkku 	galgat mearragáddái 	, oahpahus lea leamaš eanas praktihkalaš , čilgejit oahppit .
- 	Galgáhan dasa 	vel viššalisvuohta .
Vuosttaš 5 bieggam i llu 17 bieggamill u s mat 	galget Gárdevárrái 	ceggejuvvot leat dál boahtán Gil i vutnii .
Boraspirevahágiid son dieđiha Finnmárkui , muhto boraspireáicamiid 	galgá Romsii 	dieđihit .
Ah , don 	galggat viđádii 	?
Mun 	galggat gávccádii 	...
Dat jalla guhte dán lea dahkan , lei 	galgat oaivái 	báhččot !
Dát jalla guhte dán lea dahkan lei 	galgat oaivái 	báhččot !
Ohcamat 	galget dárogillii 	.
Jus leat liikostan muhtimii , de 	galggat dán 	olbmui čájehit ahte liikot suntje .
Bajasšaddanplána mas 	galget doaibmaoassái 	lassin maiddái evttohusat konkrehtalaš doaibmabijuide , galgá dohkkehit Guovdageainnu suohkanstivra .
Váhnemat 	galggašedje mánáide 	oahpahit mo sii leat oahppan ja geavahan luonddu ovdalgo oalát eisevaldit ja politihkkárat nákcejit dán eallinvuogi ja luondduipmárdusa billistit , deattuha son .
- FeFo 	galgá hálbái 	vuovdit dáid gielddaide ja earáide ja iige leat dat ásahus mii mearrá eanemus hatti , dadjá son .
« Lága ja reguleremiid bokte 	galgá oktasašvuhtii 	sihkkarastojuvvot stivrejupmi ja mearridanváldi riggodagaid badjel ja meare guliid juog adeami , marina organismmaid ja bibmojuvvon mearaelliin ...
Son oainnat almmuhii ahte ášši 	galgá diggái 	ođđajagimánus .
Ollusat leat hirpmástuvvan go sátnejođiheaddji dál jo almmuha ahte ášši 	galgá diggái 	.
Jus FeFo duođas oaivvilda dán , de livččii 	galgan mearrádussii 	čállit ahte olgoriikkalaččat ožžot fierbmunlobiid báikkálaš turismaealáhusas , nu ahte dieid ákkaid FeFos in « oastte » .
- Sámedikki doarjja 	galggai munnje 	bálkán , muhto eat ožžon .
Prošeakta mii lea leamaš jođus 2003 rájes , Sámedikki doarjagiin , 	galgá dasa 	lassin vel ilmmuhit ovtta spealu .
Bidjá áinnas ginttalčuovgga ja klassihkalaš musihka dan rukses laserii , mii 	galggašii seallaide 	oččodit fas balanssa .
- Diibmá han NBR ja stáhta soabaiga boazodoallošiehtadallamiin ahte dát gažaldat 	galgá dan 	jahkái čielgat .
- Muhto dálá strategiijaplánas ii daddjo eará ahte gitta 60 proseanta eriin 	galgá bivdiide 	geat orrot gielddas , dadjá Jon Meløy .
Aili Kesktalo ja Sámediggi leat ovttamielas ahte guolástanressuršaid ii 	galgga geasage 	juohkit ovdalgo go dát vuoigatvuođat lea čielggaduvvon .
Bálvalusa ulbmil lea maiddái ahte dat galgá Davvi-Romssa girjerádjosii oažžut ásahit iežaset sámi girjevuorkkáid , Olsen 	galgá dasa 	ráđđeaddin .
Jus hálidat vásihit ja searvat erenoamán beassášdoaluide , de 	galgat Jergulii 	vuolgit guhkesbearjadaga .
Sunno meaddel vázzet oainnat buohkat geat 	galget olgomárkaniidda 	, ja gal moadde čuođi olbmo gártet suige .
Okta sivva lohká Boine dasa leat go ieža váhnemat leat oahpahuvvon ahte eai 	galgga máilbmái 	muitalit buot áššiid .
- Mu oainnu mielde eat 	galgga dasa 	seaguhit , ja danne in áiggo mun oaivvildit maide dasa ahte leago NRK Sámi Radios riekta kulturpolitihkalaš oktavuođas ođđasiid čállit dušše dárogillii .
« Barentspapa » maid 	galgá govvii 	, čurvo ruoššabeal oassáváldit .
Dássážii eat leat ožžon nu ollu váidalemiid Davvi-Norggas , muhto jus olbmot dovdet ahte sii leat vealahuvvon mange láhkai , de 	galget munnje 	váldit oktavuođa , ávžžuha son .
Dán jagi lea NRK geavahišgoahtán ođđa almmustahttinreaiddu interneahtas mii 	galggašii geavaheaddjiide 	addit olu buoret fálaldaga go ovdal .
Dan sága 	galgá ráđđehussii 	doalvut dan ektui go leat ráhkadeami dán čakčii prinsihppadieđáhusa sámeáššiide .
- Sámediggi lea ráhkadeame klimapolitihkalaš čilgehusa mii 	galgá čakčamánnui 	gárvvis , das galgá boahtit boahtte jagi vuosttaš beallái klimadieđáhus , logai Sara sárdnestuolus .
Mearkkašumit bargui 	galggaše midjiide 	ovdal geassemánu 15 .
- Suohkan lea diehttelasat geatnegahtton láhčit dili sámegielat boarrásiidda , lohká Karlstad Mikkelsen ja muitala maiddái ahte suohkanis lea giellaplána mii dál 	galgá dohkkeheapmái 	, man vuolis sáhttet maiddái vuorrasiidda juolluduvvot ruđat .
In 	galgga bargui 	ihttin ...
Jurdda lea ahte máttasápmelaččaid ovddasteaddji 	galgá midjiide 	muitalut mo sii vásihit go mii nu unnán čállit // muitalit máttasáme dili birra , muitala Somby .
Son šaddá dávjá biilla guođđit vázzingeainnu ala , go ii leat guoros sadji masa guođđá biilla go 	galgá Megai 	dahje DnB-guovddážii .
Manne lea redaktøra Min Áiggis dihtomielalaččat almmuhan mu čálloša mii ii 	galgan aviisii 	?
Nu , mii 	galggaimet ovtta 	báikái davvin ja Hudson Bay nuorttabealde .
Ja go mus jerre maid mun galggan Nunavut provinsas , ja muitalin ahte 	galggan festiválii 	, de vel lasihin hárdin dihte ahte
- Dalle mearridii dievasčoahkkin gii 	galggai sámediggeráđđái 	dan botta go Randi Skum:as lei virgelohpi .
Mii eat áiggo vuollánit álkit dasa ahte sáme ođđasat 	galget dárogillii 	jus dat galget leat áigeguovdil dahje ovddideaddjin eaŋkel olbmui , sámegielat aviissas lea ollu stuorát ovddasvástádus go dárogillii almmuhit čállosiid maid beasat lohkat makkár neahttasiiddu de rabat .
Bargiidbellodat ja SG evttoheigga maid ruhtábinnáža bidjat ealáhatfoandii vuolle Detnui , vai jurdagat mat bohte ovdan Bonaka álbmotčoahkkimis , álkibut 	galge johtui 	boahtet ja čađahuvvot .
110 livčči 	galgan politiijai 	!
- Mun smiehtastin ahte lea vuosttaš ealga maid lean báhčán ja dat 	galgá gáddái 	mot dat juo leaš .
- skuvlla bealis maid dieđán mánát illudit juohke háve go 	galget vuojadeapmái 	
- Danin lea eahpevuoiggalaš bidjat vuostálagaid mátkeealáhusa 50 jahkedoaimma ja boazodoalu golbma jahkedoaimma , čájehan dihtii manin guovllu árbevirolaš boazodoallu 	galgá mátkeealáhussii 	čahkket saji , lohká Larsen .
Várrehus lea ahte 	galget doarvái 	oassálastti .
