Danin báhce sápmelaččat dávjá 	čohkkát 	iežaset guollehivvodagain
Don fal muittát man ollu čuoikkat diibmá ledje , ii ballen báljo jaska 	čohkkát 	.
Mun lea oainnat 	čohkkán 	stoalpogeažis ja geahččan ja danne mun dieđánge dan .
Niillas 	čohkká 	horstta alde dan dihte vai miesi aiddo čuhppojuvvon beljiide eai mana ruskkat .
Mun lea oainnat 	čohkkán 	stoalpogeažis ja geahččan ja danne mun dieđánge dan .
Niillas 	čohkká 	horstta alde dan dihte vai miesi aiddo čuhppojuvvon beljiide eai mana ruskkat .
Vaikko lea heajos vuohki ja jallodat rigeret skuvllas de gávdnojit muhtin mánát geat eai nagot 	čohkkát 	jaska .
Rávdi čilgegođii ahte sutnje šaddá nu láittas 	čohkkát 	lovttas .
De čurvii rieban ovtta dearpmáža duohken : – Gii dat lea , guhte 	čohkká 	du bálddas ?
De suorganii áddjá mealgat ja doaivvui , ahte bierdnaolmmái lei boahtime biertnaid báhčit ; de gohčui áddjá dadjat olbmá ahte : Dat guhte olbmá bálddas 	čohkká 	, lea jalŋŋis .
Muhtin eará boares áhkku lea muitalan ahte son oinnii riebana 	čohkkáme 	mievtta alde mii cielaha meahci guvlui .
Go mii leimmet unnit , oahpaimet vázzit ja hupmat , muhto go mii álggiimet skuvlii de galggaimet 	čohkkát 	jaska ja doallat njálmmi gitta .
Son jurddašii Kari birra juohke áidnu sekundda , son ii nagodan jurdagiid jorahit eará áššiid birra , iige son nagodan borrat – 	čohkkái 	ja dušše čuokkui biepmu .
Eamit , gii 	čohkkái 	su buohta .
De fuobmái maid áhkku gii 	čohkkái 	maŋábealde ahte sin leat politiijat bissehan , ja dajai : – Gal mun dan árvidin !
– Ii lean čivgan , muhto spiidni 	čohkkái 	juo vovnnas ja vurddii !
Go viimmat leat oahppan dan , de galggat 	čohkkát 	jaska iige jietnadit maidege .
Muhtun beaivvi giđa bealde lei ieš ádelhearrá 	čohkkáme 	beaivve bealde viesu ja divodeame boares skuovaid .
Iige hal sistege gillá 	čohkkát 	, go de ii dáidde árbevuoigatvuođalaš eará go ruivet ja dádjut bargoneavvuiguin .
Son dattetge geahččalii 	čohkkát 	nu jaska go sáhtii ja jurddašišgođii ledjona mearkka birra .
Vuonccis dattetge dušše 	čohkkái 	das iige ravkalan čalmmiidge .
Manne bat mun galggan dás 	čohkkát 	ja borrat buoiddi ja bábuid duinna ?
Muhto manne bat dáppe 	čohkkát 	?
Dadjá iežas leat áŋgirin oahppat , ii sáhte dušše 	čohkkát 	ja vuorddašit juoidá galgá dáhpáhuvvat .
Olles ámadadju moddjesta , ja son 	čohkká 	guhká ja guovlá govvii .
Jus ii leat miella 	čohkkát 	ja vuordit lottiid , de sáhttá beatnagiin ohcat lottiid ládduin ja jekkiin go hui njuoskkas lea , jogain ja jávrriin .
– Gal dat lea ollu , ovdamearkka dihte dat go son lea 	čohkkáme 	muhtin olbmo jápminseaŋga guoras .
Ii dieđusge leat álki sutnje gii 	čohkká 	radio studios ja galgá hui johtilit jorgalit amas gielas sámegillii dan maid meteorologalaš ásahus ain leat sádden mediaide .
Muhto dat lea dušše min ektui geat 	čohkkát 	dán sáles .
SUOHTAS BARGAT : Karianne Aho ja Elen Inga Sara mielas lea suohttaseabbo bargat OD-beivviin , go 	čohkkát 	skuvllas .
Nieiddaguovtto mielas ii orron veara 	čohkkát 	ruovttus , go lea vejolašvuohta vuolgit fitnodagaide bargat .
– Mun in gille álo ruovttus bargat , ja dát han lea suohttaseabbo go skuvllas 	čohkkát 	, mojohallá Aho .
Lei unnán olmmoš , muhto sii besse 	čohkkát 	tealttás dahje lávus , nu ahte suodji sis gal lei , muitala Buljo .
Muhto jus 	čohkká 	beare ollu dan virtuála Facebookas gos sáhttá sáddet cummá ja álggahit boalsttarsoađi interneahta čađa , de dat sáhttá hehttet min leat sosiála albma eallimis .
Eahkedis midjiide lei ordnejuvvon maŋimuš eahkeda biebmu restauráŋggas gos 	čohkkáimet 	láhttis ja midjiide fállojuvvui báikkálaš koden juhkamuš máŋggalágan biepmuiguin .
Dál leimme 	čohkkáme 	mu lanjas seaŋgga alde .
Sus lea latnja lovttas , ja lei somá 	čohkkát 	vuollin guldalit su go čuojaha gitára , muitala Tellefsen .
Dan maŋŋel lea son čoahkkán olu áigodagaid suohkanstivrras gitta 2003 rádjái ja lea maid 	čohkkán 	suohkana ovdagottis .
Maiddái mun lean beassan 	čohkkát 	suohkanstivrras oktanaga Joret-Niillasin , dat lei 2003:s , muitalii sátnejođiheaddji Hætta .
Son lohká ahte dalle juo liikostii suoli olbmái gii bálddas 	čohkkái 	.
geargame 	čohkkát 	:
‹ ‹ Sámefáŋga › › Ole Henrik Hætta lea fargga 	čohkkán 	olles iežas ráŋggáštusáiggi giddagasas .
– Suohkan sáhttá maid báhcit 	čohkkát 	čorgenrehkegiin jus dálá fitnodagat reastaluvvet , mieđiha sátnejođiheaddji Klemet Erland Hætta .
Goahppil 	čohkká 	jaskadit olggobealde Mega buvdauvssa , ii lihkkas veahášge go Marit Hildur Stueng njávkkasta dan čielggi .
Doppe gos 	čohkkáda 	, násttiid vuolde , oaidná dáhpáhusaid go su áhkkut fallehuvvo ja roasmmohuvvo ja go guovža heaggavárálaččat hávváduvvo ja de mearridage son máhccat Allaqa veahkehit .
Min mielas lei galgat sihke gielda ja skuvla vuoruhit ain eambbo návccaid givssidanváttisvuhtii , nu mot raporta bođii sin duohkai , ii ge ain 	čohkkát 	ja smiehttat máid sii galget barget dainna viidáseappot .
Nu ahte rektor ja ráđđeolmmái eaba sáhte dás 	čohkkát 	ja smiehttat mot raportta áiguba buktit ovdan vai das šaddá buoret govva .
Danne mearrideaddji eiseválddit eai sáhte šat dušše 	čohkkát 	beavddi birra ja hupmat ja hupmat váttisvuođa dan botta go bohccot duššet togaid vuollái .
Stuorámus opposišuvdnabellodat NSR 	čohkká 	ja geahččá , ii ge muitte politihkket unnitlogu vuoiŋŋain .
De šaddá ge erenoamážin go dattetge eai beroš viežžat dulkkaid dan meare go dárogillii leat logaldallamat , ja studeanttat geat eai hálddaš dárogiela , šaddet 	čohkkát 	fas dego jallan go eai ipmir maidege .
Min mielas gal šaddá dat boastut jus mánát fertejit guođđit dan árbevirolaš máhtu mat oččoše dehálaš ealáhusaid birra , danne go fertejit dalle go lea virgelohpi , maid 	čohkkát 	ja lohkat fágaid .
Mii jáhkkit maiddái dán dehálažžan Bargiidbellodaga sámediggejoavkku jáhkehahttivuhtii , go mii han diehtit ahte Bargiidbellodaga sámediggejoavkku parlamentáralaš jođiheaddji Willy Ørnebakk lei mielde heaittiheames Skániid joatkkaskuvlla , go son han 	čohkká 	Bargiidbellodaga ovddas Romssa fylkkadikkis gos jienastii heaittiheami .
Dieđus lea váttis dál juo cealkit duomu man bures Bargiidbellodat lea menestuvvan sámi áššiid ovddideamis , go lea vuos beare oanehis áiggi 	čohkkán 	fámu bealde .
Go dás fertejit dál oahppat maid sámit dál , ahte ii leat ávki 	čohkkát 	risttas gieđaid ja sávvat áššit čovdojuvvojit ieža .
Go dás fertejit dál oahppat maid sámit dál , ahte ii leat ávki 	čohkkát 	risttas gieđaid ja sávvat áššit čovdojuvvojit ieža .
Liikon 	čohkkát 	olgon jus lea fiinna dálki .
Vuoiŋŋastan buoremusat go beasan 	čohkkát 	gáttis ja geahčadit meara .
– Lea suohtas olgun 	čohkkát 	go nu heive ja moadde vuola návddašit .
– Finan lihkadallamin luonddus , guldalan musihka ja 	čohkkán 	interneahta guoras .
– Mii lea ge hearvásat go 	čohkkát 	Deanu gátti guoras ja geahččat mo eahketbeaivváš roađđá joga ala .
– Ii mihkkege gávdno mii lea nu buorre go 	čohkkát 	liegga geassebeaivvadagain olgun ja čohkkát ja návddašit ovtta galbma vuola .
– Ii mihkkege gávdno mii lea nu buorre go čohkkát liegga geassebeaivvadagain olgun ja 	čohkkát 	ja návddašit ovtta galbma vuola .
– Mun vuoiŋŋastan bures ruovttus , 	čohkkát 	ja geahččat TV , ja veaháš snahpastit maid , dat láve hui buorre .
– Dat goit geasuhit , lean náitalan ovttain gii 	čohkká 	suohkanstivrras .
Sámekonvenšuvnna šiehtadallan lea goitge dađistaga maŋiduvvon , go sámedikkit ja iešguđetge stáhtat eai leat leamaš ovttaoaivilis das , geat galget 	čohkkát 	šiehtadallanbeavddis .
Sii leat maiddái ráhkadan dollasaji gos olbmot besset dolastit go ollejit bajás , ja beaŋkkaid main sáhttet 	čohkkát 	ja vuoiŋŋastit .
Outi Snellman , gii 	čohkká 	University of the Arctic internašunála čállingottis , lea gulahallan Monaco prinssain , ja muitala ahte Prins Albert II lea dadjan ahte boahtá , muhto son gáibidii ahte galget sáddet formálalaš bovdehusa sutnje .
Ruovttus Láhpoluobbalis lea son oktan bearrašiin álo 	čohkkán 	ja
Kulturviessu lei spagga dievva ja olbmot šadde tráhpáin maiddái 	čohkkát 	.
Kaisa Rautio Helander , gii 	čohkká 	Sámi allaskuvlla lágidanlávdegottis , lea guhká ráhkkanan konferánsii , ja dál leat sii olleme mollii .
Eai dárbbat aivve 	čohkkát 	ja guldalit sáhkavuoruid , muitala Helander .
Steinar Bidne maid muitala Ávvirii ahte lea sin dábálaš bargovuohki vári ala mannat ja 	čohkkát 	ja gihkanastit doppe .
‹ ‹ Sámefáŋga › › geargame 	čohkkát 	:
‹ ‹ Sámefáŋga › › Ole Henrik Hætta lea fargga 	čohkkán 	olles iežas ráŋggáštusáiggi giddagasas .
Nu guhká go mii , opposišuvnnas , eat 	čohkká 	beaivválaččat daiguin dokumeanttaiguin , de lea bahá vajáldahttit .
– Sámediggi lea ovtta láhkai mearridan geat galget 	čohkkát 	Sámediggeráđis , ja bidjan eavttuid sin bargui .
Áššáskuhtton dievdu lea 	čohkkán 	háldogiddagasas dassážii go ášši bođii dikki ovdii dán mánu 27. beaivvi .
Mii eat sáhte 	čohkkát 	Oslos ja sárgut kártái ja bágget gielddaid ovttasbargat .
Politiijat válde dievddu mielde stašuvdnii ja son beasai fas vuolgit go lei 	čohkkán 	doppe oanehaš .
Nubbi bivdi ges gártá 	čohkkát 	30 beaivvi giddagasas ja šaddá máksit 3.000 ruvnnu áššegoluid .
Kaisa Rautio Helander , gii 	čohkká 	Sámi allaskuvlla lágidanlávdegottis , muitala ahte konferánssa ulbmil lea hukset ođđa fierpmádaga sidjiide geat barget eamibáikenamaiguin iešguđet guovlluin máilmmis .
SPAGGA DIEVVA : Lei stuorra beroštupmi filbmii ja digaštallamii , muhtimat fertejedje 	čohkkát 	láhttis .
– Dieđusge leat mii šaddan unna lanjažiin 	čohkkát 	ja fárredit , muhto obbalaččat gal in sáhte lohkat ahte dát lea hejot váikkuhan min oahppodillái , dat lea mannan bures , dadjá Oskal Gaup .
Ođđa direktevra galgá álgit ođđa bargui ođđajagemánu 11. beaivvi , ja galgá 	čohkkát 	direktevrrastuolus guhtta jagi .
– Mannan vahkku leat mii 	čohkkán 	Rema 1000 feaskáris gaskal bealnjealji ja guđa , mánnodagas duorastahkii .
Geatkemerken jurdagiid duohken , 	čohkká 	Scanlynx prošeavtta jođiheaddji , John Odden , gii lea sihke rámis ja ilus go leat boahtán johtui geatkemerkemiin , maiddái Finnmárkkus .
– Mánná váidala oaivebákčasa ja lossa vuoiŋŋahaga go boahtá ruoktot , muitala Anti , gean mánná šaddá 	čohkkát 	rabas láse luhtte vuoi oažžu buhtes áimmu .
21 beaivvi 	čohkkát 	
Nu dadjá Karl-Arne Larsson , gii ieš 	čohkká 	Deanu lávdegottis , ja lea dolkan Deanu čáhcádaga heajos hálddašeapmái .
Runar Myrnes Balto lea 	čohkkán 	Márkomeanu stivrras máŋggaid jagiid , ja dovdá festivála doaimmaid hui bures , muhto lohká liikká hástalusaid gávdnot .
Dievdu mii lea riegádan 1989:s , ja Fálesnuori gielddas , bissehuvvui go vujii 199 km // d , 90 leahttorájis , lea dál áššáskuhtton ja ferte giddagasas 	čohkkát 	60 beaivvi , ja máksit 3000 ruvnnu áššegoluid ovddas .
Dál lea dorvoohcci dubmejuvvon Sáččá dikkis giddagasas 	čohkkát 	25 beaivvi .
Okta viđa oahppis Steinkjer joatkkaskuvllas lea 	čohkkán 	biillas mas vuoddji lei gárremiin ja juohke viđat bárdni lohká iežas gárrenoaivvis vuodján biillain .
60% nuorain ledje 	čohkkán 	biillain ja ballan go lei beare leahttu ja 13 % ohppiin ledje bissehan vuoddji vuodjimis beare leahtuin , ja dás ledje bártniid eanetlogus , muitala Håkon Sivertsen Trøndelaga Dutkamis ja ovdánahttin AS .
Balto čilge ahte Sámi spábbačiekčanlihttu ii leat doaibman dán guovtti jagis go son lea 	čohkkán 	das .
– Visot boasta mii lihttui lea boahtán lea mannan presidentii , ja eai goassege midjiide boahtán geat stivrras 	čohkkát 	, lohká Balto .
– Mii eat sáhte dušše 	čohkkát 	ja dohkkehit dan , lohká Norgga Boazosápmelaččaid Riikkasearvvi jođiheaddji , Nils Henrik Sara .
– Lihkus lea das 	čohkkán 	go lea rohkkáhuvvon , go gelendaris lea dan mađe várddus ahte várra lea fuomášan albasa ovdal go lei menddo maŋŋit , ja háhppehan báhtarit das .
– Dán ášši meannudeami ektui , de mun lean duođaid eahpidišgoahtán ahte bargiin sierralohpelávdegottis oba leage gelbbolašvuohta doppe 	čohkkát 	, dadjá son .
Jurdda mus lei ráhkadit ráfálaš báikki , « párkka » , gos olbmot sáhttet 	čohkkát 	ja smiehtadit .
Son 	čohkká 	nubbin gurut bealde .
Per Nils Saari 	čohkká 	ieš Guovdageainnu suohkana sierralohpelávdegottis ja muitala ahte sii gal leat addán sierralobiid Kárášjoga ealgabivdiide .
– Ferte lohkat iežas inhabiilan jus bohtet áššit mat gusket alcces dahje stivrii mas 	čohkká 	, lohká Inge Ryan .
– Ferte lohkat iežas inhabiilan jus bohtet áššit mat gusket alcces dahje stivrii mas 	čohkká 	, dahje ferte muhtun eará meannudit ášši .
– Gulastin leat fállan daid buriid biergguid oastit , ja njuovahat galgá báhcit váibbatbiergguiguin 	čohkkát 	.
– Mo diekkár olmmoš oba 	čohkkáge 	Stuorradikkis , gii ii dovdda riikka vugiid , lea mearkkašahtti .
– Njuovahagain lea maid ovddasvástádus vuovdalit bierggu , go sii eai sáhte dušše 	čohkkát 	ja vuordit ahte mii dan dahkat sin ovddas , lohká Lifjell .
Ovttajienalaš diggi dubmii dievddu 	čohkkát 	21 beaivvi giddagassii , son massá biilavuodjinkoartta guovtti jahkái ja šaddá vel máksit 25 000 ruvnno sáhku .
Mun ledjen addán sutnje lobi doppe 	čohkkát 	, muhto ledjen gieldán su boahtimis alkoholaguossohanbeallái , deattuha Myrskog .
– Buot mearkkat leat dihtorvuorkkáide biddjon ja jáhkán livččii doarvái jus mat das 	čohkkášedje 	juristtat dahje láhkadovdit ja meannudit mearkaohcamiid , lohká son ja oaivvilda ahte dat vuogádat livččii vuoiggaleamos buot mearkaohcamiidda .
Dat dagaha ahte ii šatta doarvái buorre bargu , dadjá Solveig Boine Nikkinen , gii 	čohkká 	Kárášjoga gieldda ovddas lávdegottis .
– Mun imaštan vuoruheami go girkodulka leai maid doaluin , muhto dattege ii jorgaluvvon , čujuha Johansen , gii nuppe dáfus ádde ahte leai fanahit ipmilbálvalusa mánáide menddo guhkkin ja váttis sidjiide 	čohkkát 	jaska .
LEAMAŠAN MIELDE : Várresátnejođiheaddji geigii liđiid daid fitnodagaid ovddasteddjiide geat leat leamašan mielde huksenbargguin ja 	čohkkán 	huksenlávdegottis .
Vánhen lea skohteriin boahtán viežžat min ja sus ii leat reahka mas lea goavdi man vuolde bargit ja mánát galget 	čohkkát 	, nu go mohtorjohtolatláhka gáibida , eai ge leat suddjengahpirat , muitala Jannok Eira mot mánáidgárdi gártá rihkkut lágaid ja joatká eambbo muitalit : – Das ii leat doarvái ; go de ollejit ealu lusa de lea áigi njoarostit gitta niestebohcco , maid goddit ja njuovvat vai oažžut giđaniestti .
Dál son ballá čilas šaddat 	čohkkát 	ja iežas vuoidat čuoikavuoidasiin go dološ vieruid eai šat beasa čuovvut .
– Giđđat lea loddenáigi , ja lea nu somá čilas 	čohkkát 	, dolastit ja humadit iežan bivdinolbmáiguin .
Bivdi viežžala duljiid man alde sáhtte 	čohkkát 	.
Beaivváš goardá ain , ja dál letne čilas 	čohkkán 	30 minuhta , ii oktage loddi leat oidnon .
Álgoálbmotveahkkegažaldatforuma čoahkkimis 	čohkkái 	Olgoriikkadepartemeantta ovddidanpolitihkalaš direktevra Hege Hertzberg vuosttas ráiddus ( nubbin gurutbealde ) .
Eat mii dáppe Sámi Dáiddárráđis sáhte dušše 	čohkkát 	ja vuordit mearrádusa , dadjá Kåven .
— Dat lea álkit njunnálagaid 	čohkkát 	ja háleštit go telefovnna bokte .
– Eat mii gusto vel geargan áššiin , lohká advokáhtta Steffensen ( 	čohkká 	beavdeguoras ) , gii ovddasta áššáskuhtton oappáid ja vieljaid .
– Lea hui buorre , jos in ipmir dahje máhte ovtta bihttá , dalle in dárbbaš guhká 	čohkkát 	ja jurddašit movt dan galgá bargat , de lea hui buorre go eadni lea veahkkin , dadjá Marja Sofe .
– Suohkan sáhttá maid báhcit 	čohkkát 	čorgenrehkegiin jus dálá fitnodagat reastaluvvet , mieđiha sátnejođiheaddji .
Báhcá go suohkan de maid 	čohkkát 	čorgenrehkegiin maŋŋel ruvkedoaimmaid ?
Go fitnodat reastaluvvá , de dat ii gávdno šat , ja de sáhttá juogo suohkan dahje eananeaiggát báhcit 	čohkkát 	rehkegiin , dadjá Hætta .
Jus ii ieš leat sáhttán SPR stivračoahkkimiidda vuolgit , de lea sádden várrepresideantta su ovddastit go son maid 	čohkká 	Sámediggeráđis ja dušše ráđđelahtut sáhttet su ovddastit SPR stivrras .
Tornensis oaččui 5.000 ruvdnosaš sáhku go ii mannan Siviilasuodjalusa čoahkkimii , ja lei maid árvalus ahte jus ii mávsse dan , de šaddá 	čohkkát 	logi beaivvi giddagasas .
Ieš livččii válljen butkás 	čohkkát 	dákkár prinsihpalaš ášši dihtii , muhto stáhtii lea olu divraseabbo bidjat su giddagassii logi beaivái , go bágget su máksit sáhku .
De eai dárbbaš lanjas 	čohkkát 	ja čuojahit , muhto ožžot buori astoáiggefálaldaga .
Mu mielas gal ii leat riekta go suohkan galgá čorget ja báhcit rehkegiin 	čohkkát 	ruvkedoaimmaid maŋis , dadjá Buljo .
Che lea 	čohkkán 	giddagasa , ja lea dál beassan jugešvuođas .
Ráŋggáštussan dievdu lea ožžon 15.000 ruvdnosaš sáhku , dahje ferte 	čohkkát 	giddagasas 39 beaivvi .
Mánát besset geahččalit čáskadanrusttegiid , 	čohkkát 	buollinčáskadanbiillas ja ožžot skeaŋkkaža buollindoaimmahagas .
Buot váralamos lea vuodjit geainnuin olggobealde čoahkkebáikkiid , muhto sáhttá veahkehit jus nieida 	čohkká 	maŋŋegeahčen , čájeha dutkan .
Berit Oskal Eira , gii DI stivrras 	čohkká 	bargiid ovddas , lohká iežas movttegin .
lea hui miella lávlut Deanus , ja mii leat dál 	čohkkádeamen 	ja vuorddašeamen bovdehusa Detnui vuolgit , dadjá Solbakken .
Son diehtá ahte ii leat buorre beare olu 	čohkkát 	Facebook:s .
– Mis lea stuora lávvu gos olbmot sáhttet 	čohkkát 	, eai čuoikkat goit boađe dola lusa , dadjá Buljo .
Muhto go jávkkai rohtui , de in duostan šat das 	čohkkát 	, muitala Markussen Kárášjogas .
– Dát leai hui váttis ja váivves ášši , mieđiha Hartvik Hansen Deanu Oktasašlisttus , mas son dál 	čohkká 	okto gielddastivrras .
Kuhmunen lea okta sis gii 	čohkká 	bargolávdegottis , maid Nordlándda doaibmi fylkkamánni , Ole Bjerkaas lea dálvet čohkken .
SÁL , mii dál lea sámiid stuorámus kulturpolitihkalaš organisašuvdna , ii áiggo jaska 	čohkkát 	.
Olaussen lea 	čohkkán 	ohppiidráđis dan rájes go son álggii joatkkaskuvlii , ja lea dál beassan ohppiidráđi jođiheaddjin .
– Mátkki bokte oainnášedje oahppit ahte ohppiidráđis 	čohkkát 	ii leat dušše bargu , muhto ahte dat sáhttá leat somá maid , lohká Olaussen .
