 ¶
eallimii fridja servodagas , deattuhit 	ádde 	 ¶
Smiehtan ahte lean jalla go in 	ádde 	ahte skohtergilvovuoddji Jørn Tore Pettersena in gávnna eará go skohter lahka . ¶
- In 	ádde 	manin Jarle Jonassen ii doala lohpádusaid , go son lei ovdal geažuhan ahte ii áiggo vuosttassáji váldit NSR:a Mátta-Sámi Sámedikke valgalisttus , lohká beahtahallan Davvi-Trøndelaga NSR:a jođiheaddji Grete Dunfjell . ¶
Veterána ii 	ádde 	čáhkket saji ¶
	Ádde 	bat son maidege guolástanpolitihkas ? ¶
II 	ÁDDE 	: Deanu sátnejođiheaddji Ingrid Smuk Rolstad ii ádde šat maid Sámediggi oba oaivvilda ge Deanučázqdaga hálddašeamis Finnmárkolága olis . ¶
II ÁDDE : Deanu sátnejođiheaddji Ingrid Smuk Rolstad ii 	ádde 	šat maid Sámediggi oba oaivvilda ge Deanučázqdaga hálddašeamis Finnmárkolága olis . ¶
Muhto Iversen ii oba 	ádde 	ge mot Sámedikki sáhttá ovddidit dákkár gáibádusa , go lohká buohkaid bures diehtit ahte luossahivvodat lea rašes dilis . ¶
« Juohke iešjurddašeaddji olmmoš bures 	ádde 	ahte riikkálbmoga eanetlohku ii goassege sáhte geavahuvvot čoavdit unnitálbmot áššiid álbmotjienasteami bokte , dasa lea boađus juo ovdagihtii daddjon . ¶
Juohke iešjurddašeaddji olmmoš bures 	ádde 	ahte riikkálbmoga eanetlohku ii goassege sáhte geavahuvvot čoavdit unnitálbmot áššiid álbmotjienasteami bokte , dasa lea boađus juo ovdalgihtii daddjon . ¶
« - In 	ádde 	manne » ¶
- In 	ádde 	moktige manne Oslo gielda ádjána nie guhká meannudit leavgaášši . ¶
Dattetge son 	ádde 	manne boazodoallit leat ferten dorvvastit Greanpeacai . ¶
IMAŠTA : Nuoraidskuvlla jođiheaddji Arnulf Solberg ii 	ádde 	go nuorat eai bora skuvllas . ¶
- In 	ádde 	ahte heiveha dadjat Norggas lea okta álbmot ja okta leavga . ¶
Soin liikká 	ádde 	ahte dat sáhttá geavvat go dálá konvenšuvnna rájiin eai leat lunddolaš rájit . ¶
Ii ge son 	ádde 	manne Sámiráđi várreovdaolmmoš Olav Mathis Eira moaitá Greenpeace bargovugiid . ¶
Ruh t tejeaddji 	ádde 	Boine Sara ¶
Muhto Sámedikki várrepresideanta Ragnhild Nystad ii 	ádde 	moaitagiid . ¶
Anti lohká son 	ádde 	manin Garegasnjárgalaččat eai duostta vuosttildit stripteasa shovva . ¶
Hætta lohká buori čoahkkima leamaš birasgáhttenministariin ja 	ádde 	bures stáhtaráđi balu bievlavuodjima hárrái . ¶
NBR jođiheaddji 	ádde 	bures Nils Anders Eira , gii gáibida boazodoalu áirasiid Boazodoallostivrras guođđit iežaset sajiid . ¶
Dáloniid Listtu sámediggeáirras Isak Mathis O. Hætta mielas eai beroš ja 	ádde 	eará Sámedikki politihkarat dáloniid dárbbu geavahit mohtorfievrruid meahcásteamis . ¶
Dat čájeha Hætta mielas dušše dan maid son lea álohii lohkan , namalassii ahte eará áirasat eai 	ádde 	siseatnan dáloniid dárbbu geavahit njealljejuvllagiid meahcis . ¶
Son 	ádde 	Davvi-Troandima Allaskuvlla ekonomalaš gáržžes dili , go eai oaččo eambbo go 300.000,- r. jahkásaččat sierra juolludeami bokte . ¶
- Mun in 	ádde 	makkár riiddut dat galget badjánit . ¶
	Ádde 	s is- f innmárkulaččaid ¶
In ge mun 	ádde 	manne dalle NSR njunušolbmot navdet ovttasstahttima ovddidit sámivuođa . ¶
- Mun in 	ádde 	manne nu ádjánit , go mun lean gullan suohkan lea juo heivehan guovllu suohkanplánaide . ¶
Lohkkiidreivves Min Áiggi miessemánu 27. beaivvi son maid bealušta gieldda giellageavaheami iige 	ádde 	manne Johan Mikkel Sara áitá geassit ruovttoluotta doarjaga . ¶
Don it 	ádde 	manne váttisvuođat badjánit ovttasbarggus ja iige leat dus nu buorre heivehanmunni go dus ovdal lávii . ¶
Diet off-side rehket , dies in gal olus 	ádde 	, láhtesta son . ¶
Čieža mánnosaš Mia ii 	ádde 	vel mot su bearaš geahččala dáid beivviid sihkkarastit su boahtteáiggi . ¶
 ¶
 ¶
    Davvisámi teavsttat Julevsámi teavsttat Lullisámi teavsttat Anársámi teavsttat Nuortalaš teavsttat Fler  ¶
 ¶
0 ¶
  ¶
 ¶
    Davvisámi|Norsk|Suomeksi|English ¶
 ¶
Čujuhit Korpii ¶
10 válljejuvvon čoakkáldaga (buot) — 21,11M/21,11M sáni ¶
 ¶
    Oktageardán ohcan ¶
    Viiddiduvvon ohcan ¶
    CQP ohcan ¶
    Buohtastahttin ¶
 ¶
maiddái sáni álgun sáni loahppan ja beroškeahttá unna/stuorra bustávain ¶
KWIC: ¶
 ¶
    KWIC ¶
    Statistihkka ¶
 ¶
Boađus: 1 224 ¶
								 ¶
Ovddit ¶
1 ¶
2Čuovvovaš ¶
Cealkkačájeheapmi ¶
	Min Aigi – ¶
	ÁDDE 	DILI : Sámedikk i ráđđe la httu Johan M. Sara lohk á áddet girječálliid frustrašuvnna . ¶
- In 	ádde 	movt sáhttá dutkagoahtit guovllus gos eai oba leat ge bohccot , imašta Porsanger . ¶
Mun in 	ádde 	manne dát galgá dagahit nie olu digaštallama ja suhttu NSR:as . ¶
Mun in 	ádde 	politihkáriid , lohká son ja bárdá oaivvi . ¶
Muhto go mii eat 	ádde 	suomagillii bagadusa , de eat sáhte ávkkástallat buriid girjjiin , čilge son . ¶
Henriksen lohká son 	ádde 	Guovdageaidnu hálida Finnmárkkuopmodaga ja bargosajiid gildii , muhto su mielas doppe leat juo doarvái sámi ásahusat , ja lohká dál leat earáid vuorru . ¶
Sámi skuvllat definerejuvvojit d án systema sisa , muhto eai 	ádde 	sámeskuvlla duohta dili , lohká Solbjørg Ravna . ¶
Son dattetge 	ádde 	ahte dábálaš oahpaheddjiin ii leat jođihan gelbbolašvuohta muhto dalle han livččii skuvlejupmi hui mávssolaš sidjiide . ¶
Ii leat ávki eadnái addit alárpma , ii son gal 	ádde 	dan geavahit . ¶
- In 	ádde 	mas NBR ballá ¶
- Mun in 	ádde 	mainna son smiehttá , oainnát ii go son galgá leat viehka guhká juo čohkkán Sámedikkis . ¶
- Dáppe lea mis áibbas eará lágan boazodoallu , eatnamat ja hástalusat go Sis-Finnmárkkus , muhto dan eai 	ádde 	. ¶
Balto lohká son 	ádde 	go muhtumat moitet go Sámediggi lea vuoruhan Sámi spábbačiekčan riikajoavkku ja Arctic-Winter Games doaluid maŋimuš áiggi . ¶
Dan maid mun oainnán dehálažžan go bealuštan olbmuid , lea ahte duopmár 	ádde 	ollásit maid mun oaivvildan , maiddái smávva erohusaid , deattuha son . ¶
Svestad 	ádde 	Solbakka biehtadeami , muhto lohká iežaset bures váldán vuhtii etihkalaš beliid roggamiin . ¶
Mun in 	ádde 	makkár válddiin sáhttá boazodoallohálddahus geassit eret guohtuma olles 800 bohccui eatnamiin gos mis otná dán beaivvi guhtot bohccot , dadjá Anti ja joatká : ¶
Dan 	ádde 	Anti bures , muhto Spiertagáissá siiddaid ii oainne váttisvuohtan dálveorohagain . ¶
- Dát ášši šaddá heahpadin Suoma eiseválddiide dan dáfus go sin vuollásaččat Yle eai 	ádde 	kultuvrra vuođđoáššiid . ¶
Dus berre leat buorre sámegielmáhttu , go stuorra oassi barggus gáibida ahte 	ádde 	báddejumiid sisdoalu . ¶
Dus berre leat buorre sámegielmáhttu , go stuorra oassi barggus gáibida ahte 	ádde 	báddejumiid sisdoalu . ¶
Son maid 	ádde 	ahte mánáidruovttu mánát eai leat hálidan oktavuođa doallat suinna . ¶
Dasa lassin lea dát kulturpolitihkalaš gažaldat ja mun in 	ádde 	manin teáhter galgá jienajávohaga orrut dán áššis , imaštallá Nordlund . ¶
Dattege 	ádde 	Nedrejord muhtun muddui juoigansearvvi jođiheaddji Biret Risten Sara balu dáža institušuvnnaide . ¶
Mun maid jáhkán dábálaš helssetlaš dál 	ádde 	ahte maiddái sámimánain lea vuoigatvuohta oažžut fálaldaga iežaset eatnigillii TV:s , lohká Valkonen . ¶
Mun in 	ádde 	nissonolbmuid . ¶
- Mun in 	ádde 	manne dát lea váttisvuohta Finnmárkku Bargiidbellodahkii , go galggašedje baicca ilus go Bargiidbellodat oažžu jođiheaddji , lohká Egil Olli . ¶
- Mun in 	ádde 	manne dát lea váttisvuohta Finnmárkku Bargiidbellodahkii go galggašedje baicca ilus go Bargiidbellodat oažžu jođiheaddji , lohká Egil Olli . ¶
Mun in veláge 	ádde 	mo olmmoš šáhttá leat nu čeahppi borramušaid válmmašteamis go Áila . ¶
Mii hui fargga váidalit go eat 	ádde 	buot mii Biibbalis čuožžu . ¶
IPMIRDA : Sámedikki presideanta Aili Keskitalo 	ádde 	Eliassena frustrašuvnna , muhto ii loga sáhttit maidege dahkat FO-stivrra mearrádussii . ¶
Gerhardsen dattetge muhtun muddui 	ádde 	ahte sápmelaččain lea leamaš vierrun dadjalit « don leat dego jallas dáža mii it birge meahcis » ¶
- Dát čájeha ahte ollu dážat eai 	ádde 	mo luonddu mearkkaid galgá dulkot ja áddet . ¶
In 	ádde 	maiddái dan , ahte manin Ohcejoga gielda , mii ávkkástallá turismmain , fáhkkestaga geahččalage iskat hehttet turisttaid buktimis ruđa gildii , Kallioinen imaštallá . ¶
- Dát biktasat leat dego « riika » biktasat , ále boastut gal 	ádde 	, muhto Sápmi biktasat , lohká son . ¶
Dattetge 	ádde 	Gaski oahppováillagiid váttis dili ja bivdá stáhtaeiseválddiid jođánepmosit máksit buhtadusruđaid . ¶
Son 	ádde 	ahte Kappfjell ii sáhte dušše sirdit iežas ealu vieljas dollui , go dat goarida ges su birgejumi . ¶
Johnsenis leat ge ollu badjeverddet , ja son 	ádde 	bures manne boazodoallit maiddái gáibidit divatgeahpedemiid bensiidnii . ¶
Dattetge 	ádde 	Tretnes juoigiidsearvvi bálu massimis luođi dážaid háldui . ¶
Son dieđusge 	ádde 	vuoddjit geat deddet eambbo hálidivčče bajidit deaddoráji , muhto das ballá son váikkuhusain nieidamánáide geat dábálaččat eai deatte nu ollu . ¶
Iige obba 	ádde 	čiehkat iežas ovdagáttuid go joavdá Giru gillái Avviljoga gáttis : ¶
- Mun váillahan eambbo fokusa manne lea dehálaš vuordit seksuálalaš daguiguin dassá mánná ja nuorra ieš 	ádde 	makkár dahku dát lea . ¶
Lea baicce dávjá dárbu oaidnit sámegiela sániid jorgaluvvon eaŋgalasgillii ovdalgo 	ádde 	mas lea sáhka dán girjjis . ¶
- sánige 	ádde 	... ¶
IPMIRDA : Deanu gieldda várresátnejođiheaddji Frank Ingila 	ádde 	ahte Olsen dovdá vealahuvvon . ¶
	Ádde 	vealahan čuoččuhusa ¶
- Son 	ádde 	NBR jođiheaddji moaitaga ja lei áinnas hálidit eambo boazodoalliid Boazodoallostivrii , muhto nu ii luoitte dálá politihkalaš dilli , čilge Randi Skum . ¶
	Ádde 	NBR jođiheaddji ¶
Ii 	ádde 	Boine moaitaga ¶
maid norgalaččat eai 	ádde 	 ¶
Beakkán prográmma jođiheaddji Per Sundnes mielas eai 	ádde 	norgalaččat man stuorra násti Mari lea máilmmis . ¶
FO stivra gáibida maid ahte direktevra 	ádde 	máŋggakultuvrrat Finnmárkku ja sámegielmáhttu livččii ovdamunni virggis . ¶
- Mun oainnán ahte leat ollu suoinnit , inge 	ádde 	mot daid galggašii ollet gáddái viežžat ovdal jiekŋa manná . ¶
Mun in 	ádde 	ahte galgá leat dárbu sirret Norgga álbmoga . ¶
Mun in 	ádde 	ahte galgá leat dárbu sirret Norgga álbmoga . ¶
Skancke Pedersen lohká ahte mii ieža Sámis eatge 	ádde 	man stuorra vejolašvuođat dálááiggedáidagis ja duojis livčče máilmmis . ¶
Jouni Helander navdá dákkár sivahallamiid maid Varsi buktá , vuolgit áddetmeahttunvuođas , turisttat eai 	ádde 	báikki olbmuid ja nuppe láhkai ; ¶
Dattetge 	ádde 	Laiti ahte ođđa áigi rievdada dárbbuid sámeniibbi ektui ja Strømeng niberávdái . ¶
Hætta ii 	ádde 	manne Bakken fertii geavahit sáni diktatuvrralaš , go Hætta mielas Sámediggi ja ráđđi leat bargan demokráhtalaččat dán ášši . ¶
Hætta ii 	ádde 	manne Bakken fertii geavahit sáni diktatuvrralaš , go Hætta mielas Sámediggi ja ráđđi leat bargan demokráhtalaččat dán ášši . ¶
Elijas 	ádde 	sámegiela ja hálláge juo vehá . ¶
- In ge mun 	ádde 	mot Boazodoallohálddahus sáhttá muitalit ahte diet áidi lea lobihis áidi . ¶
In ge 	ádde 	mot sáhttet čuoččuhit dáid áiddiid nuoskkidit , main leat ođđa streaŋggat ja stoalpput , dadjá Eira . ¶
- In 	ádde 	, manin das ii leat oaivi . ¶
Nu čállá girječálli Magne Skåden , 28 jahkkásaš girječálli , geas lea garra vuoiŋŋasváddu ja navde sus eai leat dovddut , ii 	ádde 	maidege iige leat giella . ¶
Su leat dearvvašvuođaeiseváldit agi beaivvái dupmen , ii son 	ádde 	maidege , sus eai leat dovddut , son ii sáhte almmuhit maid jurddaša ja su ii ábut guđege láhkai oahpahit , agibeaivái nuppiid hálddus leat . ¶
Deaŧálaš lea ahte álbmot 	ádde 	ja dohkkeha njuolggadusaid ja Finnmárkkulága sisdoalu , dadjá Tretnes . ¶
In 	ádde 	gos daid loguid lea roggan , muhto dat lea endorii , mas ii leat makkár ge vuođđu duohtavuođas , lohká Anti . ¶
- Iige Jánoš leat Deanu gielddastivrras lahttu , nu ahte in 	ádde 	áibbas vissát ovttasbargováttisvuođa sudno gaskkas , lohká Terje Tretnes . ¶
Su mielas lea buoret ahte dáža mánát álget sámi mánáidgárddi guoros sajiide ovdalii go sirdet olles ossodaga dáža mánáidgárdái , muhto liikká ii 	ádde 	manne dat galgá biddjot dáža ossodahkan vai duhtada dáža váhnemiid balu sámivuođas . ¶
- In ge mun 	ádde 	gos hálddahus lea roggan dan dieđu ahte dušše logi proseanta vuotnjaliin guddet misiid . ¶
- Boares olbmot váildalit go eai 	ádde 	daid ođđa sániid mat dađistaga bohtet gillii , muitala son . ¶
In 	ádde 	mearrádusa , lohká son ja bárdá oaivvi skuvlla mearrádussii . ¶
Son ii riekta 	ádde 	manin dalle muhtun juoigit ja lávlut nimmorit . ¶
Thomassen maid ii riekta 	ádde 	manin muhtumat hálidit diehtit geat Sámedikki musihkkafágaolbmot leat . ¶
Moai fertejetne suomastit , go mun in oalleláhkai 	ádde 	koltágiela iige songe fas mu sámegiela . ¶
Nystad 	ádde 	ahte gieldda ássit eai leat diehtán dáid ođđa njuolggadusaid birra . ¶
Mun gal njuolga lohken generálii ahte mun in 	ádde 	manin hárjánan ámmátsoalddáhat sáhttet fallehit nissonolbmo . ¶
- Mun lean vásihan máŋgii ahte olbmot eai buot áiggiid 	ádde 	maid Beaivvaš Sámi teáhter lea čájehan . ¶
- Eai máttanorgalaččat 	ádde 	min meahcásteami ja meahcceriggodagaid ávkkástallama ¶
- Moai ean 	ádde 	sámegiela , ja dalle ii lean eará go moaitit skuvlla , lohkaba váhnenguovttus . ¶
Eai ge sii 	ádde 	manne Kárášjoga mánáidsuodjalusa mielas eai šat leat dohkkálaččat , vaikko gielda ieš lea dohkkehan sin biebmoruoktun . ¶
- Dát lea áibbas boasttu ođas , cuige Lappi guolástanbirrasa hoavda , biologa Olli Tuunainen Roavvenjárggas ja joatká : - Mun in 	ádde 	, mo dákkár ođas oppa leage beassan aviissaidda . ¶
Su mielas eai 	ádde 	eará áirasat dálu sámiid dárbbuid seailluhit dehálaš oasi sámi kultuvrras . ¶
Guovddášbellodat ii 	ádde 	manne Sámeálbmot bellodat obanassii ge vikkahii mánáidsuodjalus ášši gielddastivrii , Anne Torill Balto dadjá vel ahte dát dagaha eahpeluohttevašvuođa mánáidsuodjalussii . ¶
- In jáhke dieid « sminken » sániid geavahit mu fitnodagas go olbmot eai 	ádde 	, lohká make-up artista Inger Anne Utsi Kárášjogas ja geahčada Isak Saba guovddáža gealuldusplahkáha . ¶
	Ádde 	tmeahttun sánit ¶
- In 	ádde 	dien luomavuoiddas sáni , inge čalbmebáđđáge , ja mii bat ramassárggon lea . ¶
DÁRBU SÁGASTIT : Deanu sátnejođiheaddji Ingrid Smuk Rolstad 	ádde 	olbmuid moaitagiid , muhto oaidná dárbbu ságastit dan birra eambbo . ¶
Sámi historihkkár Steinar Pedersen 	ádde 	bures olbmuid moaitagiid gilážiin , go geahččá FeFo mearrádusa historjjálaš perspektiivvas . ¶
- Eai ollesolbmot ge 	ádde 	buot sániid teavsttas , ja dalle eat sáhte vuordit ahte smávimusat áddejit teavstta , lohká son . ¶
Son ii 	ádde 	dasto manne Guovdageainnu SáB stivralahtu Mikkel Aslak Logje lea maŋŋel dadjan Sámi Radios ahte Nymo measta gielista . ¶
Juohkehaš 	ádde 	dát buktá stuorra ja issoras roasuid olles máilmmi álbmogii . ¶
- Dál leat luonddugáhttejeaddjit , máttanorgalaččat ja Stuorradiggepolitihkkárat álfárot min eallinvuogi ja sámi kultuvrra bil listeamen , beaškala Sæther ja lasiha : - Sii eai 	ádde 	maidege min dilis dáppe ja eaige dieđe makkár viiddis geainnohis guovllut dáppe leat . ¶
- Eai go 	ádde 	máddin ahte dáppe han ii oktage hálit billistit luonddu , go doppe han ollugat vižžet sihke lassidietnasa ja biepmu . ¶
- Jus dál giddejit mehciid , de jávká luondduáddejupmi , luonddumáhttu ja dan mielde jávká maiddái giellariggodat ja mun gal in 	ádde 	ahte dán hálidit min eiseváldit dahkat , lohká Kjell Sæther . ¶
Birger Nymo ieš lohká son ii 	ádde 	mo sii áigot lihcut su go su oaivil mielde ii leat čoahkkin mii dollui Guovdageainnus lobálaččat gohččojuvvon ja son ii hálit maidege eará dása dadjat , muhto hálida liikká deattuhastit ahte son lea guhte lea Sámeálbmot Bellodaga jođiheaddji . ¶
Ii 	ádde 	moaitagiid ¶
- Mun in 	ádde 	manne Sámi Radio ii sáhte ásahit dárogielat liŋkka gos leat ođđasat maiddái dárogillii , dadjá Jánoš Trosten . ¶
Muhto ministaris lea dáhttu veahkehit sápmelaččaid ja son 	ádde 	sámiid gáibádusa . ¶
	ÁDDE 	VUORUHEAMI : Stuorradiggeáirras Per-Willy Amundsen mielas ii leat riekta seaguhit NRK Sámi Radio mearrádusaide , muhto ádde manne vuoruhit dárogiela ovdalii sámegiela . ¶
ÁDDE VUORUHEAMI : Stuorradiggeáirras Per-Willy Amundsen mielas ii leat riekta seaguhit NRK Sámi Radio mearrádusaide , muhto 	ádde 	manne vuoruhit dárogiela ovdalii sámegiela . ¶
Gorudiid lea maid dohkkehan Biebmobearráigeahču veterineara , nu ahte in 	ádde 	manne Pedersen geahččála midjiide botnját sivá , dadjá Anti . ¶
	ÁDDE 	: Ruoŧa Sámedikki stivrraságadoalli Lars Anders Baer ádde go SSL nimmora sin ruhtavuoruheami . ¶
ÁDDE : Ruoŧa Sámedikki stivrraságadoalli Lars Anders Baer 	ádde 	go SSL nimmora sin ruhtavuoruheami . ¶
Hanssen 	ádde 	maid ahte mearrasámikultuvrii soaitá deháleabbo vuoruhit ovdalii eará osiid go ruđalaš gánnahahttivuođa . ¶
Mats , Elle Sofe ja Anne Silja muitalit ahte lea dehálaš ahte gulahallan doaibmá bures , danin sii navdet ahte nuorat gulahallet buoremusat eará nuoraiguin : - Nuorain leat sierra kodat maid dábálaččat vuorrasat olbmot eai dovdda eaige 	ádde 	, dán mii leat vásihan go leat galledallan skuvllaid ja háleštan nuorain , muitalit sii . ¶
Ean oba 	ádde 	mot leat sáhttán dan veahá áiggi váldit eret sámegielat oahpaheddjiin mainná leat beassan ráhkkanit sámegieloahpahussii ja ráhkadit oahpponeavvuid , dadjaba soai . ¶
Ii go leat imaš ahte okta min deháleamos sámegielovddidan ásahusain ii 	ádde 	illudit go nubbi , priváhta fitnodat , ovddida sámegiela doaimma . ¶
Lian lea bidjan iežas kánturbargi čállit sutnje virgeduođaštusa , mas maid boahtá ovdan ahte son 	ádde 	ja máhttá maid veahá sámegiela . ¶
Deanu sámeskuvlla váhnenráđi jođiheaddji Oskar Trosten doarju oahpaheddjiid soađi sámegiela seailluheamis sámeskuvllain , ja 	ádde 	bures go oahpaheaddjit lea heađástuvvan . ¶
Juohkehaš dán 	ádde 	ahte dát dahká sámi borranbáikkiide álfarot veadjemeahttun dili , ja nu ii sáhte leat . ¶
Nuppi SáB listonjuonoš Sárá Márjá Magga 	ádde 	man dihte fylkkasátnejođiheaddji lea árvalan Janoš listu buorrindohkkehit . ¶
Dattetge lea lohpi muhtomin feilet eallimis ja doaivumis Amoca dan 	ádde 	, ja nu ii joatkke narkomirkkuin boahtteáiggis , lohká Hirvasvuopio Laiti . ¶
Politiijáinspektevra Morten Daae 	ádde 	ránnjáid cuiggodeami , go eai dovdda ožžon doarvái veahki dearvvašvuođabálválusas . ¶
Suopmelaš ii 	ádde 	 ¶
Son lea maid vuohttán ahte sámi lunttat šaddet eanet oadjebassan go geavaha giela masa lea hárjánan ovddežis , dasa lassin hárjánit dat geat eai 	ádde 	giela buorrindohkkehit sámegiela . ¶
Keskitalo liikká 	ádde 	ahte dat gažaldat čuožžila . ¶
Biilavuoddji 	ádde 	bures ¶
Dát nuorra gánda 	ádde 	bures Eriksena váidaleami , ja lohppida buoridit dábiidis . ¶
Sámi homofiilaid ja lesbiskaid fierpmádaga ovdaolmmoš Risten Rávná Hætta lea liikká čeavlái , ja 	ádde 	bures manne sámi homofiilat ja lesbiskat dán háve vuos válljeje geahččat vázzima doaresbealde . ¶
Nu go oainnát bajábealde , de livčče Min Áiggi redaktevra galgan muinna váldit oktavuođa go oaidná ja 	ádde 	ahte čálus ii lean jurddašuvvon aviisii . ¶
Dábálaš guovllulaš eiseválddit eai 	ádde 	, eaige máhte , vuhtiiváldit sámiid beroštumiid doarvái bures . ¶
Áddeš gii dan 	ádde 	, muhto dat čájeha man jorgut servodatvuogádat lea , dadjá Helena Horti . ¶
- Juohkehaš 	ádde 	ahte das ballá boazu , mii ii leat hárjánan garra jienaide . ¶
- Vaikke olmmoš 	ádde 	ahte ii leat várálas , de lea liikká veahá ballu , dadjá Kleveland . ¶
In 	ádde 	manin válden govaid ¶
- Galggat oaidnit ahte dálge maid don čálát mu dadjamušain , olbmot lohket , ahte iihan Olli-Pekka 	ádde 	maidege ja mii son lea hállat Ohcejoga gieldda áššiin . ¶
Dál bajásšaddadit dan ođđa utnolaš soahkabuolvva , mii 	ádde 	máŋga giela ja kultuvrra , lohká Minna . ¶
Stáhtaministtar Jens Stoltenberg lea iežas mátkkis davvin cealkán ahte son 	ádde 	go finnmárkulaččat ballet šaddat oassin stuorra regiuvnnas Davvi-Norggas , muhto dát ii dárbbaš mearkkašit ahte dát lea seamma go lohpádus . ¶
Roncen Ánde ii loga diehtit makkár duođaštusaid ja báhpiriid son válgabeaivve galgá váldit mielde nu ahte son ge beassá jienastit : - Válggakoarttas ii leat midjiide gielahisolbmuide ávki go eat 	ádde 	dárogiela . ¶
Maiddái son lea ožžon válgakoartta , muhto mii ávkkit : - In mun dás 	ádde 	in maidege go dát lea čállon dárogillii , váidala Roncen Ánde ja čujuha sihke tekstii ovdasiiddus ja čállosii nuppi siiddus : ¶
II 	ÁDDE 	: Sámiid Duodji searvvi jođiheaddji Karl Fredrik Teigen ii loga sáhttit áddet ahte smávva duodje organisašuvdna Duojáriid Ealáhussearvvis lea nu ollu váldi . ¶
Dutki gii ii 	ádde 	servodaga ¶
Son oahpásnuvva Sáme nissoniiguin ja jođánit dutki áddegoahta ahte sámeservodat lea sihke girjái ja maiddái devdon olu kodain maid son ii 	ádde 	. ¶
Sæther 	ádde 	bures go máŋggas , eanas boazodoallit , garrasit vuostaldit minárala ohccámiid . ¶
Nes Marina fitnodaga eaiggát , Niels Høegh , ii 	ádde 	manne Romssa boazodoalohálddahus seaguha iežas áššái . ¶
Son maid ii 	ádde 	Heatta moaitága go Dagsrevyen ii leat sádden ON eamiálbmoga njuolggášdusa dohkkeheami ođđasa . ¶
Dan 	ádde 	juohkehaš ahte dat lea ádjás ja guhkes proseassa mii boahtá váldit jahkeviissaid ovdal lea čielggas . ¶
In jáhke dábálaš márkanolmmoš olmmoš boastut 	ádde 	. ¶
	Ádde 	Kárášjoga ja Guovdageainnu ¶
Ii 	ádde 	moaitámuša ¶
Giela geažil eai 	ádde 	dávjá sápmelaččaid ja sin váttisvuođaid . ¶
Dattetge 	ádde 	Beaivváža hoavda ahte Teaterfabrikken Čáhcesullos áigu ráhkadit čájálmasa rohčosemiid ja illástemiid birra . ¶
Sii eai 	ádde 	min bivddu ja muđui makkár árvu das lea . ¶
In 	ádde 	mo dadjadedje njállabivddus go bijai garra dálkki , go mun in oaidnán reagaidge dies šiljus , muittaša son . ¶
- Mii maid diehtit ahte eanaš sápmelaččat eai 	ádde 	sámegiela . ¶
Eai vuolgge go eai 	ádde 	 ¶
- Munnje leat ollugat dovddahan ahte eai vuolgge Beaivváš teáhter čájálmasaid geahččat danne go eai 	ádde 	giela , muitala son . ¶
- In dárbbaš eará go geahčastit dárogiel tekstii go in 	ádde 	buot mii dáhpáhuvvá , muitala nisu guhte lea ássán lagabui 20 jagi Kárášjogas . ¶
Son 	ádde 	gal ahte báikki násti Kai Somby geasuha , muhto ii sáhttán jurddašit ahte ná ollu nuorra olbmot bohtet girkui . ¶
Son 	ádde 	moaitaga ahte gávppit nagodit barggahit olbmuid juohke vahkkoloahpa birra jagiid , muhto njuovahat ii nagot daid vahkuid go lea ollu bargu . ¶
Ballo 	ádde 	bures ahte Collins eadni lea balus ja dáhtošii johtilis vástádusa bearaščoahkkanan-ohcamuššii , muhto soahtedilli ohcci riikkas sáhttá dagahit ahte sii ložžejit gáibádusaid beassat Norgii . ¶
guldaleddjiid , ja mun in 	ádde 	manne dat lea sin mihttu . ¶
Soaitá mánná čiegadišgoahtá dovdduid , ii muital , og jurddaša ahte mu eadni ja áhčči eaba 	ádde 	mu , dahje soai boastut áddeba mu . ¶
- In 	ádde 	Olli ! ¶
Finnmárkku Bargiidbellodaga fylkkasátnejođiheaddji Runar Sjåstad ii 	ádde 	sámediggepresideantta Egil Olli go su ja earáid bellodagas buohtastahttá ovddádusbelloodat politihkkáriiguin . ¶
Runar Sjåstad maid imašta go Olli čuoččuha ahte son ii 	ádde 	ja dieđe mii mineraldiva lea ja makkár mineraláid birra dás lea sáhka . ¶
- Čuoččuhusaide ahte mun ja fylkkadiggi eat leat váldán oktavuođa sámedikkiin in 	ádde 	ja in ge beroštan váldit oktavuođa dán áššis sivasgo mis lei ođđajagi 2. beaivve ságastallan Ealáhus- ja gávpedepartementta stáhtačálliin Øyvind Slåke:iin gos beasaimet gullat dán eamiálbmot mineraldivvaga birra . ¶
- Mun suorganin go dá moadde beaivve dassá gullen Olli radios čilgemin ahte jus mineralláhka galgá doaibmat olles Norggas , de lea Sámediggi rievttes ásahusa hálddašit dan ja ráđđádallat dán áššis , ja seamma radiojearahallamis logai son ahte Sápmi han lea olles Norga , ja dat gal suorggaha mu ja in ge 	ádde 	maid dás Olli oaivvilda . ¶
Jan Saijets 	ádde 	bures , ahte vaikke Sámedikki jietnavuoigadahtton olbmuin measta bealli ásset Sámeguovllu olggobealde , de eai Sámediggái beassán go guokte “ gávpot-sámiid ” ovddasteaddji . ¶
đas , lasiha dutkamuššii dieđu boazodoalu 	ádde 	 ¶
árbevirolaš máhttofievrrideamis dasa maid dárbbašit diehtit , ja dasa lassin movttiidahttojit jearahallat jus lea juoga maid eai 	ádde 	. ¶
“ Ii olmmoš duostta hállát sámegiela go dalle olggušta daid sámiid , geat eai 	ádde 	eaige máhte . ¶
geahččalit oaidnit áššiid su dásis vai 	ádde 	máná buorebut . ¶
