Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	ádden 	ja gudnejahttin . ¶
) várra 	ádden 	buorebut go hálan ja [ -- £logan buorebut go ieš čálán.£ ( ... ¶
muhto mun lean álo 	ádden 	dan . ¶
) jos mun 	ádden 	dan nu dasto [ liikon dasa ] . ¶
Áibbas oahpuid álggus , go sii eai velá 	ádden 	sámegiela , ¶
suomagillii dahje čilgejit ovttaskas áššiid dakkáriidda , geat eai lean 	ádden 	dan . ¶
Dalle lei sin mielas juoba buoret sámástit , jos earát eai 	ádden 	sin ¶
sámástit gaskaneaset , vaikko buohkat eai dan 	ádden 	. ¶
doarvái buorrin ja oassi fas ii ollige 	ádden 	, manin gii nu jurddašivččii nu . ¶
Mo dat orui du mielas , go olbmot sámástedje gaskaneaset , itge 	ádden 	daid ? ¶
Mun 	ádden 	lávlaga dalááiggi estehtalaččat hábmejuvvon duohtavuođa ádde jupmin ja boahtteáiggi rahčamuššan , iige dološáiggi nostalgiijan . ¶
Nubbi oassi manná birra oaivvi ( juoga nu lágan ravda dahje reaska , 	ádden 	mun ) . ¶
Muhto 	ádden 	dás ahte son oaivvilda johtti sápmelaččaid , geat johtet gaskal mearragátti ja siseatnama . ¶
Nugo mun 	ádden 	Højrup ( 1989 ) de eallineavttut mat bohtet olggobealde váikkuhit olbmuid eallinvuohkái sihke buori ja heajos láhkái . ¶
Báikeáddejupmái laktasa maiddái guovllu 	ádden 	ja meahcis dádjadeapmi . ¶
Soai čatnaba , nu go 	ádden 	sudno ságaid , nannosit iežaska dovdduid duddjomii . ¶
	Ádden 	Hallam ja Ingolda nu , ahte soai deattuheaba hutkáivuođa proseassan mas de leat oassedáhpáhusat ja mat váikkuhit olbmo dovdui , moktii ja ovdanbuktimii . ¶
Ulbmilin lea sámegiela oahpahusa dili oppalašvuođa 	ádden 	ja ovdanbuktin . ¶
pan , bustávaid ovttasteapmi stávvalin , sáni čohkken stávvaliin , stávvalráji gávd nan oidnojuvvon sáni vuođul ja lohkama 	ádden 	( Ahvenainen – Holopainen 2005 : 109–110 ) . ¶
Nugo 	ádden 	Eco , de olbmo vuosttaš vásáhus muhtun dávviriin hukse dávvira idea . ¶
	Ádden 	dihtii Turi teaksta- ja dáiddaduoji lea dehálaš dovdat man áiggis Muitalus sámiid birra ja Turi eará barggut leat dahkkon . ¶
Dat oassi su govain mat dássážii illá leat čájehuvvon dahje almmuhuvvon gostige , ovdal go moai Mikael Svonniin mearrideimme daid váldit mielde ođđasemos MSBdeaddi leapmái , leat ge buoremus duođaštus dasa ahte Turis ledje dáidda laš ambi - šuvnnat , muhto su mesenat – ee. Emilie Demant-Hatt ja Hjalmar Lundbohm – eai 	ádden 	Turi govalaš viggamušaid . ¶
Go de dadjá ahte dát gapmu lea historjjálaččat , kultuvrralaččat ja sosiálalaččat čadnon , de 	ádden 	ahte vásáhusat justa leat čoagganan rupmašii , ja daid vuođul de sáhttit gamus dovdat ovdal go máhttit dan čilget . ¶
Dás 	ádden 	maid nu ahte diehtomielalašvuohta ii leat dušše ¶
Nu de 	ádden 	maiddái gamus dovdama , ahte rumaš muitá , muhto olmmoš ii vuos sáhte čilget manne nu dovdá . ¶
jus vuolgá deike , ja mun 	ádden 	su hui bures , muitala Johnsen ¶
jus vuolgá deike , ja mun 	ádden 	su hui bures , muitala Johnsen ¶
